david-raya,G,61,45,22,0,0,0,0,0,0,0,0,90,71,6.8,0,0,0,0,0,0,11.811111111111,49.52962962963,1
benjamin-white,D,50,47,0,0,6,3,1,3,1,0,0,90,71,6.9,0,0,0,0,0,0,47.617948717949,20.648717948718,1
william-saliba,D,73,72,0,0,2,3,0,1,1,0,1,90,77,7.1,0,0,0,0,0,1,36.922093023256,33.175581395349,1
gabriel-magalhaes,D,69,60,5,0,6,8,0,0,0,0,2,90,81,7.3,0,0,0,0,0,2,36.501041666667,70.51875,1
oleksandr-zinchenko,D,67,56,4,0,0,5,0,0,0,0,1,74,84,7.5,0,1,0,0,0,2,43.150526315789,72.136842105263,1
martin-odegaard,M,65,58,1,0,6,1,2,2,0,0,0,90,77,7.5,0,2,1,0,0,1,54.688505747126,40.43908045977,1
thomas-partey,M,67,62,4,0,2,0,0,1,0,0,0,67,75,6.7,0,0,0,0,0,0,44.92875,43.91875,1
emile-smith-rowe,M,44,39,1,0,2,1,1,0,0,0,0,85,55,7.5,0,2,0,0,0,1,58.33,62.821666666667,1
reiss-nelson,F,33,33,0,0,4,3,0,1,1,0,1,75,44,7,0,1,0,0,0,1,57.598039215686,26.201960784314,1
kai-havertz,F,20,17,1,1,6,4,1,2,1,0,0,66,37,7.3,0,1,0,1,0,0,71.948979591837,49.185714285714,1
leandro-trossard,F,30,24,1,0,4,4,0,4,3,0,1,90,46,7.1,0,1,0,0,0,0,62.918965517241,78.834482758621,1
thomas-kaminski,G,42,26,30,0,0,0,0,0,0,0,0,90,49,7.2,0,0,0,0,0,0,10.949180327869,49.698360655738,0
daiki-hashioka,D,56,48,5,0,3,6,0,0,0,0,0,90,67,6.5,0,1,0,0,0,2,41.430379746835,27.188607594937,0
teden-mengi,D,37,31,4,0,3,4,0,0,0,0,0,90,49,7,0,0,0,0,0,2,30.124590163934,55.649180327869,0
issa-kabore,D,46,39,4,0,2,7,1,1,1,0,2,90,62,6.8,0,1,0,0,0,2,38.07972972973,63.194594594595,0
fred-onyedinma,M,17,12,1,0,5,5,0,0,0,0,2,75,42,6.6,0,0,0,0,0,3,48.481132075472,16.741509433962,0
ross-barkley,M,62,55,6,0,1,3,0,1,1,0,1,90,68,7.2,0,0,0,0,0,0,49.211392405063,45.446835443038,0
pelly-ruddock-mpanzu,M,24,19,0,0,1,3,1,0,0,0,1,53,33,6.2,0,0,0,0,0,1,42.455555555556,64.802777777778,0
alfie-doughty,M,42,36,3,0,4,5,1,0,0,0,1,90,70,7,0,0,0,0,0,4,43.359756097561,81.530487804878,0
andros-townsend,F,17,15,3,0,3,0,1,1,0,0,0,81,28,6.5,0,1,0,0,0,0,50.484848484848,18.093939393939,0
jordan-clark,M,45,37,4,0,3,5,0,0,0,0,3,90,52,7.1,0,0,0,0,1,1,54.760655737705,58.354098360656,0
carlton-morris,F,23,18,0,0,8,7,2,0,0,0,1,90,33,6.6,0,0,0,0,0,0,54.511111111111,37.74,0
