david-raya,G,43,29,24,0,0,0,0,0,0,0,0,90,50,7,0,0,0,0,0,0,13.521052631579,52.750877192982,1
benjamin-white,D,47,41,1,0,2,4,0,1,1,0,0,90,70,7.7,0,2,0,0,1,3,52.687179487179,15.115384615385,1
william-saliba,D,70,69,1,0,0,3,0,0,0,0,0,90,76,7.1,0,0,0,0,0,2,34.180722891566,32.810843373494,1
gabriel-magalhaes,D,59,54,6,0,3,3,0,0,0,0,1,90,66,7.2,0,0,0,0,0,1,31.184,73.934666666667,1
oleksandr-zinchenko,D,34,31,1,0,0,2,0,0,0,0,0,75,44,7,0,1,0,0,0,2,46.062745098039,74.841176470588,1
martin-odegaard,M,36,30,1,0,7,5,2,4,1,0,1,90,61,7.1,0,2,0,0,0,3,65.275,26.130882352941,1
jorginho,M,69,63,4,0,2,2,1,1,1,0,0,75,77,6.7,0,0,0,0,0,1,45.770238095238,41.92380952381,1
declan-rice,M,40,36,3,0,4,4,1,1,0,0,1,90,58,7.7,0,2,0,0,0,3,41.601538461538,60.144615384615,1
gabriel-jesus,F,46,30,0,0,14,9,3,8,3,0,2,90,76,6.8,0,0,0,0,0,4,67.564130434783,18.711956521739,1
edward-nketiah,F,8,5,0,0,6,4,1,1,0,0,1,75,19,6.8,0,0,0,0,1,1,70.324137931034,56.631034482759,1
leandro-trossard,F,9,9,1,0,1,0,1,0,0,0,0,45,13,6.6,0,1,0,0,0,0,51.257142857143,67.307142857143,1
ederson,G,48,39,17,0,0,1,0,0,0,0,0,90,56,6.6,0,0,0,0,0,0,10.680952380952,53.663492063492,0
kyle-walker,D,45,41,3,0,1,4,0,1,1,0,0,90,59,6.8,0,0,0,0,0,2,46.564285714286,15.468571428571,0
ruben-dias,D,89,77,5,0,0,1,0,0,0,0,0,90,92,6.6,0,0,0,0,0,0,41.936458333333,26.684375,0
nathan-ake,D,65,59,2,0,0,4,0,0,0,0,1,90,74,6.7,0,0,0,0,0,3,33.104819277108,67.540963855422,0
josko-gvardiol,D,41,29,6,0,4,3,2,0,0,0,0,90,65,6.9,0,0,0,0,0,2,39.561538461538,85.539743589744,0
rico-lewis,D,32,29,1,0,2,3,0,1,0,0,2,68,36,6.7,0,0,0,0,0,1,53.823684210526,35.405263157895,0
bernardo-silva,M,66,63,3,0,4,3,1,0,0,0,0,90,74,7,0,0,0,0,0,3,44.95375,48.61125,0
mateo-kovacic,M,37,36,1,0,4,3,2,0,0,0,0,68,46,6.6,0,0,0,0,0,3,46.117647058824,72.690196078431,0
julian-alvarez,F,16,11,0,0,3,0,1,0,0,0,0,68,30,6.6,0,0,0,0,0,0,54.617142857143,40.125714285714,0
erling-haaland,F,16,11,0,0,4,3,1,1,1,0,0,90,23,7,0,2,0,1,0,0,61.513793103448,55.875862068966,0
phil-foden,M,33,26,3,0,10,11,2,9,4,0,3,90,56,7.2,0,2,0,1,0,2,48.098484848485,64.619696969697,0
