david-raya,G,17,17,0,0,0,0,0,0,0,0,0,90,24,7,0,0,0,0,0,0,15.746875,55.30625,1
benjamin-white,D,82,78,0,0,2,3,1,0,0,0,0,90,94,7.5,0,1,0,1,0,2,58.603883495146,22.07572815534,1
william-saliba,D,89,84,1,0,2,3,0,0,0,0,0,90,93,7,0,2,0,0,0,0,43.778378378378,49.802702702703,1
gabriel-magalhaes,D,92,82,4,0,1,9,0,0,0,0,2,90,107,7.6,0,0,0,0,0,1,45.479527559055,76.422834645669,1
oleksandr-zinchenko,D,66,60,0,0,6,4,1,0,0,0,0,64,77,6.8,0,2,0,0,0,1,57.617045454545,76.331818181818,1
martin-odegaard,M,81,70,4,0,8,3,2,6,1,0,1,90,109,8,0,6,0,1,0,1,73.960869565217,28.998260869565,1
declan-rice,M,107,100,2,0,2,9,0,1,1,0,0,90,120,7.3,0,2,0,0,0,4,54.23893129771,39.793129770992,1
leandro-trossard,F,46,35,1,0,3,3,1,1,0,0,0,79,66,7,0,1,0,0,0,3,70.042857142857,63.002597402597,1
bukayo-saka,F,62,57,1,0,11,5,2,5,1,0,1,90,98,7.2,0,4,0,1,0,3,76.525,18.348148148148,1
gabriel-jesus,F,39,36,0,0,2,6,1,0,0,0,4,90,62,7.3,0,4,0,1,0,2,70.237878787879,61.30303030303,1
gabriel-martinelli,F,29,22,1,0,4,3,1,3,2,0,0,64,46,7.2,0,1,0,0,0,1,76.111111111111,76.17962962963,1
alphonse-areola,G,39,15,36,0,0,0,0,0,0,0,0,90,50,8.8,0,0,0,0,0,0,7.2151515151515,48.825757575758,0
vladimir-coufal,D,23,9,3,0,2,7,1,1,0,0,1,90,53,7,0,0,0,0,0,2,40.21,10.943333333333,0
konstantinos-mavropanos,D,13,9,5,0,4,4,0,0,0,0,0,90,27,7.9,0,0,1,0,0,2,41.619444444444,37.566666666667,0
angelo-ogbonna,D,24,20,4,0,0,3,0,1,1,0,0,90,38,7.6,0,0,0,0,0,2,26.00487804878,67.063414634146,0
emerson-palmieri,D,25,21,2,0,3,9,1,0,0,0,2,90,45,8,0,0,0,0,0,5,36.396363636364,82.154545454545,0
edson-alvarez,M,25,23,1,0,0,6,0,0,0,0,1,90,44,7.4,0,0,0,0,0,5,27.175,65.790384615385,0
tomas-soucek,M,22,15,4,0,7,3,1,0,0,0,1,90,45,7.5,0,0,1,0,0,2,38.507407407407,31.925925925926,0
mohammed-kudus,M,24,18,4,0,11,6,3,5,2,0,1,90,49,6.4,0,0,0,0,0,2,42.740298507463,22.249253731343,0
james-ward-prowse,M,22,19,1,1,5,4,0,1,0,0,1,90,42,7.4,0,1,0,0,0,1,35.335714285714,60.307142857143,0
lucas-paqueta,M,10,9,0,0,4,1,3,1,0,0,0,33,17,6.2,0,0,0,0,0,1,35.75,78.51,0
jarrod-bowen,M,16,14,1,1,10,0,2,2,0,0,0,90,30,6.7,0,1,0,1,1,0,51.10243902439,42.841463414634,0
