neto,G,10,9,4,0,0,0,0,0,0,0,0,90,28,8.2,0,0,0,0,0,0,10.658536585366,53.607317073171,1
adam-smith,D,46,39,5,0,3,2,0,1,0,0,2,74,64,6.5,0,1,0,0,0,0,57.907142857143,12.197142857143,1
chris-mepham,D,93,80,12,0,4,16,0,0,0,0,1,90,101,7.7,0,0,0,0,0,3,44.633333333333,39.904761904762,1
illia-zabarnyi,D,85,74,10,0,6,6,0,0,0,0,0,90,95,6.8,0,1,0,0,0,1,46.156140350877,65.388596491228,1
milos-kerkez,D,48,42,1,0,1,2,0,1,1,0,0,45,59,7,0,0,0,0,0,1,64.715625,80.9546875,1
ryan-christie,M,53,44,6,1,4,4,0,1,0,0,2,74,76,8.8,0,5,0,3,1,1,57.872413793103,59.380459770115,1
lewis-cook,M,61,52,5,0,4,4,0,0,0,0,1,90,81,7.4,0,4,0,0,0,1,54.264583333333,30.073958333333,1
antoine-semenyo,M,28,23,1,0,6,2,2,1,0,0,1,90,49,6.5,0,0,0,0,0,1,71.130508474576,23.147457627119,1
justin-kluivert,M,17,13,0,0,4,1,1,0,0,0,1,62,29,6.6,0,0,0,0,0,0,74.580555555556,35.522222222222,1
marcus-tavernier,M,55,49,1,0,4,4,1,2,1,0,1,62,68,7.7,0,4,0,0,0,2,70.273684210526,71.768421052632,1
dominic-solanke,F,18,13,2,0,9,9,2,0,0,0,2,90,37,7,0,3,0,0,0,0,68.008771929825,46.368421052632,1
ivo-grbic,G,41,12,40,0,0,2,0,0,0,0,1,90,57,8.3,0,0,0,0,0,0,8.9042253521127,50.218309859155,0
george-baldock,D,17,11,4,0,2,2,0,0,0,0,1,90,30,6.5,0,0,0,0,0,1,22.889743589744,26.358974358974,0
auston-trusty,D,6,3,0,0,2,3,0,0,0,0,0,90,23,7.1,0,0,0,0,0,0,23.269696969697,49.560606060606,0
jack-robinson,D,27,15,9,0,5,7,0,0,0,0,1,90,59,8,0,1,1,0,0,3,29.331578947368,71.197368421053,0
bogle-jayden,D,13,7,3,0,5,3,1,2,0,0,0,69,26,6.6,0,0,0,0,0,1,35.96875,23.65625,0
tom-davies,M,18,12,3,0,2,6,0,1,1,0,1,45,28,6.8,0,0,0,0,0,2,42.415384615385,50.992307692308,0
oliver-arblaster,M,27,22,2,0,4,3,1,1,0,0,1,80,39,6.6,0,0,0,0,0,0,38.64375,49.879166666667,0
gustavo-hamer,M,24,12,6,0,8,1,0,1,0,0,1,90,45,7.3,0,5,1,1,0,0,46.63275862069,53.394827586207,0
ben-osborn,M,19,12,3,0,4,2,1,0,0,0,1,90,32,6.4,0,1,0,0,0,1,42.533333333333,79.938461538462,0
oliver-mcburnie,F,34,24,0,0,14,9,1,0,0,0,0,69,45,6.8,0,1,0,0,0,1,57.125373134328,51.035820895522,0
ben-brereton-diaz,F,19,13,1,0,4,6,1,2,2,0,3,80,33,7.2,0,0,0,0,1,1,64.48717948718,65.294871794872,0
