mark-flekken,G,27,21,8,0,0,1,0,1,1,0,0,90,28,6.1,0,0,0,0,0,0,15.382142857143,51.521428571429,1
saman-ghoddos,M,65,50,7,0,4,1,2,0,0,0,0,77,90,6.6,0,0,0,0,0,1,55.10612244898,12.774489795918,1
ethan-pinnock,D,86,83,5,0,0,4,0,0,0,0,0,90,95,7.3,0,0,0,0,0,1,40.032075471698,35.317924528302,1
ben-mee,D,91,78,12,0,8,4,1,1,1,0,0,90,105,8.3,0,2,1,0,0,0,46.95,66.834920634921,1
vitaly-janelt,M,86,71,8,0,6,3,3,0,0,0,0,90,109,7.1,0,4,0,0,0,1,50.803149606299,81.633858267717,1
frank-onyeka,M,39,34,1,0,2,4,0,0,0,0,1,90,57,7.2,0,0,0,0,0,3,61.621538461538,35.293846153846,1
christian-norgaard,M,86,71,11,0,8,5,0,1,1,0,0,90,113,7.3,0,1,0,0,0,4,52.409230769231,46.564615384615,1
yarmoliuk-yehor,M,29,27,0,0,2,4,0,2,1,0,0,70,44,7.2,0,2,0,0,0,3,67.7,68.604,1
bryan-mbeumo,F,41,34,1,1,6,3,0,3,0,0,3,78,65,7.3,0,1,0,0,0,0,73.286842105263,23.65,1
neal-maupay,F,31,23,1,0,9,7,3,2,2,0,3,89,53,8.1,0,2,1,0,0,2,69.293939393939,49.436363636364,1
yoane-wissa,F,29,24,2,0,5,2,1,2,0,0,0,90,42,6.8,0,1,0,0,0,1,65.364150943396,65.396226415094,1
thomas-kaminski,G,33,18,25,0,0,0,0,0,0,0,0,90,44,6.3,0,0,0,0,0,0,11.146153846154,50.821153846154,0
teden-mengi,D,14,8,4,0,2,3,0,1,0,0,0,76,24,6.3,0,0,0,0,0,1,23.703225806452,32.587096774194,0
tom-lockyer,D,9,5,3,0,2,5,0,1,1,0,1,45,23,7,0,0,0,0,0,2,23.110714285714,55.157142857143,0
gabriel-osho,D,28,21,3,0,4,5,0,0,0,0,1,90,53,7.2,0,0,0,0,0,3,25.014285714286,55.862857142857,0
issa-kabore,D,22,19,0,0,3,3,0,0,0,0,1,90,42,6.7,0,0,0,0,0,1,37.998113207547,39.964150943396,0
pelly-ruddock-mpanzu,M,8,4,2,0,3,2,1,1,1,0,0,60,22,6.4,0,0,0,0,0,1,37.404,47.924,0
ross-barkley,M,40,31,3,0,7,4,4,3,2,0,0,90,66,6.7,0,1,0,0,0,0,51.314666666667,56.185333333333,0
amarii-bell,D,32,26,3,0,1,6,0,0,0,0,2,90,54,6.9,0,0,0,0,0,2,31.959090909091,75.895454545455,0
tahith-chong,F,14,9,0,0,4,8,2,1,1,0,3,90,29,6.9,0,1,0,0,1,2,50.795,49.6725,0
ogbene-chiedozie,M,9,6,1,0,2,1,1,1,0,0,1,60,21,6.2,0,0,0,0,0,0,43.246428571429,84.907142857143,0
carlton-morris,F,15,7,0,0,3,9,1,1,1,0,0,61,24,6.9,0,0,0,0,0,2,46.880555555556,55.052777777778,0
