mark-flekken,G,35,25,24,0,0,0,0,0,0,0,0,90,41,7.7,0,1,0,1,0,0,12.376,45.316,1
zanka,D,53,35,6,0,4,13,0,0,0,0,1,90,76,7.9,0,3,0,0,0,3,44.019191919192,29.186868686869,1
kristoffer-ajer,D,31,26,3,0,5,7,1,0,0,0,2,90,51,8,0,2,1,0,0,2,46.550724637681,49.973913043478,1
nathan-collins,D,28,19,5,0,2,4,1,0,0,0,1,90,37,6.9,0,2,0,0,0,1,40.19375,70.6,1
mads-roerslev,D,19,14,4,0,3,3,1,1,1,0,2,87,30,7.1,0,1,0,1,0,0,55.447368421053,20.847368421053,1
mathias-jensen,M,37,31,4,0,5,4,2,3,2,0,0,90,71,8,0,6,0,1,0,2,61.204761904762,28.488095238095,1
vitaly-janelt,M,52,39,5,0,3,11,1,1,1,0,2,90,83,8.3,0,3,0,0,0,5,54.547959183673,50.563265306122,1
yarmoliuk-yehor,M,26,14,3,0,4,0,1,1,0,0,0,71,44,6.8,0,0,0,0,0,0,67.522,58.198,1
keane-lewis-potter,F,22,15,3,0,3,6,0,3,1,0,0,87,38,7.2,0,1,0,0,0,1,59.023076923077,72.676923076923,1
ivan-toney,F,28,16,0,1,7,7,1,2,2,0,2,90,49,7.8,0,1,0,1,1,0,75.309523809524,49.019047619048,1
yoane-wissa,F,17,14,2,0,5,4,0,3,1,0,1,71,31,6.8,0,1,0,1,0,1,65.69,43.0725,1
andre-onana,G,33,13,27,0,0,3,0,0,0,0,1,90,46,7.5,0,0,0,0,0,0,7.9384615384615,48.890384615385,0
diogo-dalot,D,43,36,3,0,6,4,0,0,0,0,1,90,66,7.5,0,3,0,0,0,2,42.48,24.30875,0
victor-lindelof,D,35,32,1,0,3,5,0,0,0,0,0,69,48,7.2,0,0,0,0,0,1,34.529032258065,51.114516129032,0
raphael-varane,D,29,27,3,0,1,0,0,0,0,0,0,45,37,7.1,0,0,0,0,0,0,28.454761904762,60.678571428571,0
aaron-wan-bissaka,D,43,34,3,0,5,6,0,4,3,0,0,90,74,7.3,0,0,0,0,0,3,44.776086956522,78.91847826087,0
scott-mctominay,M,33,23,2,0,8,5,0,1,0,0,0,90,52,6.6,0,0,0,0,0,1,39.889552238806,35.54328358209,0
kobbie-mainoo,M,42,37,1,0,7,4,0,3,1,0,1,80,56,6.7,0,0,0,0,0,2,49.576470588235,59.716176470588,0
alejandro-garnacho,M,16,14,1,0,4,2,1,1,0,0,0,59,25,6.5,0,0,0,0,0,2,62.811111111111,32.407407407407,0
bruno-fernandes,M,70,57,7,0,6,3,2,0,0,0,1,90,95,8.1,0,4,0,1,0,2,52.009009009009,58.715315315315,0
marcus-rashford,M,39,37,0,0,1,2,0,2,1,0,0,80,53,7.2,0,2,0,0,1,0,67.198181818182,79.38,0
rasmus-hojlund,F,18,13,0,0,14,2,4,0,0,0,1,90,40,6.1,0,1,0,0,1,0,51.980701754386,50.89298245614,0
