bart-verbruggen,G,25,22,5,0,0,1,0,0,0,0,0,90,33,7.1,0,0,0,0,0,0,9.0847826086957,50.478260869565,1
joel-veltman,D,27,21,1,0,5,4,2,0,0,0,0,90,42,6.9,0,0,0,0,1,3,41.458823529412,17.237254901961,1
adam-webster,D,67,57,3,0,1,2,0,0,0,0,0,90,73,7.1,0,1,0,0,0,1,34.223684210526,28.959210526316,1
lewis-dunk,D,84,77,9,0,5,2,0,0,0,0,0,90,92,6.9,0,0,0,0,0,1,27.672277227723,57.513861386139,1
igor-julio,D,57,50,2,0,0,0,0,0,0,0,0,90,71,7,0,0,0,0,0,0,37.205194805195,82.431168831169,1
pascal-gross,M,56,50,4,0,5,4,1,1,0,0,1,90,70,6.6,0,1,0,0,2,2,45.24578313253,29.240963855422,1
gilmour-billy,M,60,54,2,0,3,2,1,1,1,0,0,88,69,6.7,0,0,0,0,0,1,44.096,57.588,1
facundo-buonanotte,M,16,16,0,0,9,5,3,3,2,0,1,61,29,6.6,0,0,0,0,0,2,51.694871794872,44.95641025641,1
joao-pedro,F,29,22,0,0,4,4,2,3,2,0,2,90,46,7.3,0,3,1,1,1,0,66.718867924528,60.766037735849,1
simon-adingra,M,30,27,1,0,6,5,1,4,2,0,2,89,54,8.9,0,5,0,2,0,1,60.956338028169,80.138028169014,1
danny-welbeck,F,18,13,0,0,3,7,1,0,0,0,1,88,29,6.8,0,0,0,0,0,5,59.9,41.521875,1
robin-olsen,G,43,42,3,0,0,1,0,0,0,0,1,90,54,8.8,0,0,0,0,0,0,9.1901639344262,49.259016393443,0
ezri-konsa,D,44,38,2,0,2,5,0,0,0,0,2,89,57,6.5,0,0,0,0,0,3,37.524615384615,13.310769230769,0
diego-carlos,D,85,72,8,0,2,4,0,0,0,0,0,90,96,7,0,0,0,0,0,2,27.902752293578,34.339449541284,0
pau-torres,D,71,67,5,0,5,4,1,1,0,0,2,90,83,6.7,0,0,0,0,0,2,33.955555555556,69.847777777778,0
lucas-digne,D,38,31,3,0,1,4,0,2,1,0,1,89,59,6.7,0,0,0,0,0,1,45.413235294118,85.273529411765,0
john-mcginn,M,32,28,5,0,7,4,3,1,0,0,2,90,45,6.4,0,0,0,0,1,2,41.131034482759,42.687931034483,0
douglas-luiz,M,42,36,1,0,3,3,1,0,0,0,0,90,53,6.8,0,0,0,0,0,2,47.366666666667,60.869841269841,0
leon-bailey,M,20,16,2,0,7,5,1,4,1,0,2,90,42,6.4,0,0,0,0,0,2,53.192307692308,49.730769230769,0
morgan-rogers,M,8,6,0,0,1,0,0,0,0,0,0,26,10,6.7,0,1,0,0,0,0,59.808333333333,55.425,0
diaby-moussa,M,12,7,0,0,2,0,1,0,0,0,0,73,17,6.7,0,0,0,0,0,0,63.595454545455,47.086363636364,0
ollie-watkins,F,20,17,0,0,6,7,1,5,2,0,2,90,32,6.7,0,0,0,0,0,1,66.736842105263,55.728947368421,0
