bart-verbruggen,G,49,33,22,0,0,0,0,0,0,0,0,90,55,6.2,0,0,0,0,0,0,14.725,49.576666666667,1
joel-veltman,D,47,35,6,0,2,14,1,0,0,0,4,90,81,7.4,0,0,0,0,0,8,41.767032967033,14.076923076923,1
adam-webster,D,89,80,7,0,1,4,0,0,0,0,0,90,100,7.1,0,0,0,0,0,2,32.094495412844,32.534862385321,1
lewis-dunk,D,78,72,9,0,3,2,0,0,0,0,0,90,87,8,0,0,0,0,0,0,35.59801980198,69.118811881188,1
pervis-estupinan,D,38,34,1,1,4,4,0,1,0,0,1,90,61,7.1,0,1,0,1,0,1,46.102564102564,80.829487179487,1
mahmoud-dahoud,M,28,23,1,1,2,1,0,1,0,0,0,74,33,6.9,0,1,0,1,0,1,46.837837837838,55.627027027027,1
gilmour-billy,M,72,64,5,0,5,4,0,1,1,0,0,90,88,7.5,0,4,0,0,0,3,46.620792079208,46.479207920792,1
facundo-buonanotte,M,13,10,0,0,6,6,3,1,0,0,4,45,29,6.6,0,0,0,0,0,2,46.274285714286,20.208571428571,1
danny-welbeck,F,19,17,1,0,2,1,0,2,0,0,1,63,26,6.4,0,1,0,0,0,0,54.7,37.213333333333,1
simon-adingra,M,26,26,0,0,8,4,1,5,2,0,1,87,44,6.7,0,2,0,1,1,0,53.374545454545,40.523636363636,1
evan-ferguson,F,8,6,1,0,1,0,1,0,0,0,0,45,16,6.7,0,1,0,0,0,0,55.305882352941,55.494117647059,1
neto,G,28,10,22,0,0,0,0,0,0,0,0,90,32,5.9,0,0,0,0,0,0,9.8282051282051,48.297435897436,0
max-aarons,D,25,16,5,0,2,5,1,1,1,0,1,90,40,6.2,0,0,0,0,1,3,30.213725490196,21.323529411765,0
illia-zabarnyi,D,37,28,4,0,2,5,0,1,1,0,1,90,51,6.6,0,0,0,0,0,3,39.391803278689,37.939344262295,0
lloyd-kelly,D,39,30,8,0,1,1,0,0,0,0,0,83,49,6.8,0,2,0,0,0,1,39.71,65.558333333333,0
milos-kerkez,D,17,14,1,0,7,7,2,1,1,0,3,90,46,6.2,0,0,0,0,0,3,48.624137931034,79.394827586207,0
lewis-cook,M,49,46,1,0,2,1,0,1,1,0,0,90,56,6.8,0,2,0,0,0,0,48.062121212121,45.183333333333,0
philip-billing,M,25,20,1,0,5,6,2,1,0,0,2,82,40,6.5,0,0,0,0,0,4,61.330612244898,51.677551020408,0
marcus-tavernier,M,18,14,1,0,3,6,1,5,4,0,0,63,34,7.1,0,1,0,0,0,2,62.792857142857,32.740476190476,0
ryan-christie,M,29,24,2,1,6,2,3,0,0,0,1,82,42,6.8,0,1,0,1,0,1,56.28,48.088,0
justin-kluivert,M,14,9,1,0,4,4,1,3,2,0,1,64,25,6.5,0,0,0,0,0,1,55.493548387097,78.561290322581,0
dominic-solanke,F,13,12,0,0,9,3,2,3,0,0,1,90,28,6.8,0,0,1,0,0,1,61.530555555556,54.058333333333,0
