arijanet-muric,G,29,27,4,0,0,1,0,0,0,0,0,90,38,7.4,0,0,0,0,0,0,17.647727272727,49.370454545455,1
lorenz-assignon,M,24,18,0,0,2,0,0,1,0,0,0,45,35,6.3,0,0,0,0,0,0,60.255263157895,17.657894736842,1
dara-oshea,D,73,61,4,0,3,10,0,0,0,0,0,90,82,7,0,0,0,0,0,3,47.701041666667,36.477083333333,1
maxime-esteve,D,83,75,6,0,5,2,0,0,0,0,0,90,99,6.9,0,0,0,0,0,2,47.238938053097,69.856637168142,1
charlie-taylor,D,36,35,1,0,2,0,0,0,0,0,0,75,39,6.5,0,1,0,0,0,0,54.41914893617,81.73829787234,1
wilson-odobert,M,53,46,1,0,3,5,0,7,5,0,0,90,77,7.1,0,0,0,0,0,0,68.322619047619,56.060714285714,1
cullen-josh,M,79,74,1,0,2,3,0,0,0,0,1,83,89,7.8,0,1,1,0,0,2,58.236,46.121,1
sander-berge,M,129,125,8,0,3,1,0,0,0,0,0,90,131,7.7,0,3,0,0,0,0,56.592307692308,50.637762237762,1
jacob-bruun-larsen,M,20,18,0,0,5,1,1,5,1,0,0,45,34,6.6,0,3,0,1,0,0,72.894871794872,78.941025641026,1
foster-lyle,F,28,23,1,0,7,2,1,2,1,0,1,90,39,6.9,0,2,0,0,0,0,70.88,40.642222222222,1
zeki-amdouni,F,24,20,0,0,5,3,0,2,0,0,2,75,41,6.6,0,1,0,0,0,0,68.373333333333,54.917777777778,1
matz-sels,G,24,11,23,0,0,0,0,0,0,0,0,90,30,6.7,0,1,0,0,0,0,9.4625,48.29,0
gonzalo-montiel,D,16,16,1,0,2,8,0,0,0,0,1,90,32,7.4,0,0,0,0,0,6,33.965909090909,20.115909090909,0
willy-boly,D,23,16,3,0,2,3,0,0,0,0,0,90,33,6.8,0,1,0,0,0,0,28.167391304348,35.3,0
murillo,D,28,21,6,0,1,2,0,0,0,0,0,90,48,7.2,0,0,0,0,0,0,26.56,58.229090909091,0
harry-toffolo,D,20,17,4,0,0,1,0,0,0,0,0,90,35,6.7,0,0,0,0,0,0,28.633333333333,83.052380952381,0
ryan-yates,M,14,14,0,1,0,5,0,0,0,0,4,58,24,7.3,0,1,0,1,0,1,33.68,46.186666666667,0
danilo,M,22,15,3,0,2,6,0,1,1,0,0,80,39,7.1,0,2,0,0,0,4,33.029787234043,50.514893617021,0
anthony-elanga,M,12,8,0,1,4,3,1,2,0,0,2,88,26,7.3,0,2,0,1,0,0,56.603125,30.953125,0
morgan-gibbs-white,M,28,21,3,0,7,2,1,2,0,0,1,90,41,7.1,0,3,0,0,0,0,51.177358490566,60.818867924528,0
callum-hudson-odoi,M,27,22,4,0,4,4,0,2,1,0,1,88,36,7.2,0,1,0,0,1,2,47.304166666667,83.245833333333,0
chris-wood,F,22,9,0,0,6,4,1,0,0,0,1,79,30,8.6,0,0,2,0,0,0,59.55641025641,51.112820512821,0
