sam-johnstone,G,20,9,14,0,0,0,0,0,0,0,0,90,22,6.6,0,0,0,0,0,0,11.768965517241,49.886206896552,1
joel-ward,D,58,46,11,0,4,5,0,0,0,0,0,90,61,6.9,0,0,0,0,0,0,42.658666666667,25.124,1
joachim-andersen,D,77,63,14,0,2,3,0,1,0,0,1,89,87,7.1,0,0,0,0,0,0,41.345360824742,46.937113402062,1
chris-richards,D,62,57,4,0,2,7,0,0,0,0,2,90,73,7.8,0,0,1,0,0,3,38.212048192771,79.55421686747,1
daniel-munoz,M,50,42,3,0,2,8,0,2,2,0,1,90,75,7.7,0,1,0,0,3,2,59.110344827586,13.168965517241,1
adam-wharton,M,31,28,2,0,8,3,0,0,0,0,0,66,49,7.2,0,3,0,1,0,2,62.314754098361,32.752459016393,1
jefferson-lerma,M,61,50,6,0,0,15,0,1,1,0,1,90,77,8,0,1,0,0,0,2,48.576842105263,65.063157894737,1
tyrick-mitchell,M,31,23,2,0,4,4,1,1,0,0,2,90,58,6.8,0,0,0,0,0,1,52.506666666667,88.893333333333,1
jordan-ayew,F,37,26,2,1,5,11,3,3,3,0,3,89,72,9.5,0,5,1,1,1,3,71.64578313253,31.322891566265,1
odsonne-edouard,F,19,11,1,0,7,5,0,1,1,0,0,66,30,6.7,0,1,0,0,0,0,67.06511627907,71.427906976744,1
jean-philippe-mateta,F,10,8,0,0,11,4,4,3,0,0,2,90,33,6.8,0,0,1,0,2,0,69.704651162791,49.088372093023,1
james-trafford,G,58,26,33,0,0,0,0,0,0,0,0,90,68,6.4,0,0,0,0,0,0,15.288607594937,49.16329113924,0
lorenz-assignon,M,17,9,2,0,10,5,3,1,0,0,0,90,45,6.2,0,1,0,0,1,1,49.752380952381,14.236507936508,0
dara-oshea,D,54,42,7,0,4,2,0,0,0,0,0,90,61,6.2,0,0,0,0,0,1,36.522972972973,28.082432432432,0
maxime-esteve,D,45,37,6,0,4,3,0,0,0,0,1,90,57,6.1,0,0,0,0,0,0,35.172727272727,66.922727272727,0
charlie-taylor,D,37,21,8,0,8,4,1,1,1,0,0,75,53,5.9,0,0,0,0,0,1,36.591428571429,75.587142857143,0
johann-gudmundsson,M,24,15,6,0,7,3,0,0,0,0,1,89,33,6.2,0,0,0,0,0,1,44.876744186047,26.055813953488,0
sander-berge,M,50,41,10,0,6,9,1,1,1,0,1,90,69,7,0,0,0,0,1,4,43.242168674699,43.434939759036,0
josh-brownhill,M,19,17,1,0,4,0,0,0,0,0,0,35,22,5.3,0,0,0,0,0,0,42.657142857143,58.060714285714,0
wilson-odobert,M,11,10,1,0,6,5,0,6,3,0,0,89,25,6.4,0,0,0,0,0,1,43.830303030303,76.70303030303,0
david-datro-fofana,F,15,10,0,0,10,3,2,2,2,0,0,89,26,6.6,0,0,0,0,0,0,63.225,53.3775,0
zeki-amdouni,F,6,4,0,0,4,1,0,1,0,0,0,37,8,6.4,0,0,0,0,0,0,61.508333333333,67.525,0
