dean-henderson,G,19,13,8,0,1,0,0,0,0,0,0,90,25,6.3,0,0,0,0,0,0,5.448275862069,50.406896551724,1
joel-ward,D,24,20,3,0,3,2,1,1,1,0,0,90,42,6.5,0,0,0,0,0,1,27.418867924528,25.269811320755,1
joachim-andersen,D,41,34,10,0,0,6,0,1,1,0,0,90,63,7,0,0,0,0,0,4,27.615277777778,49.733333333333,1
jefferson-lerma,M,42,35,9,0,2,4,0,1,1,0,0,90,59,6.5,0,0,0,0,0,1,25.804109589041,65.308219178082,1
daniel-munoz,M,25,16,1,0,3,4,0,0,0,0,0,90,46,6.7,0,0,0,0,0,3,41.016666666667,13.508333333333,1
adam-wharton,M,27,23,4,1,2,1,0,0,0,0,1,90,33,7.1,0,2,0,1,0,0,43.540909090909,43.320454545455,1
will-hughes,M,22,19,0,0,4,2,0,0,0,0,0,82,30,6.2,0,0,0,0,0,2,42.7075,64.1825,1
tyrick-mitchell,M,16,8,3,0,0,1,0,0,0,0,0,75,25,6.3,0,0,0,0,0,1,29.536363636364,84.651515151515,1
jordan-ayew,F,13,11,0,0,1,2,0,1,1,0,1,74,20,6.9,0,0,0,0,0,0,57.608,25.824,1
jean-philippe-mateta,F,6,5,1,0,6,3,2,0,0,0,0,74,15,6.8,0,0,1,0,2,2,46.6375,42.245833333333,1
eberechi-eze,F,18,14,2,0,3,1,3,0,0,0,0,64,29,6.6,0,0,0,0,0,1,45.002857142857,71.585714285714,1
stefan-ortega,G,29,25,6,0,0,0,0,0,0,0,0,90,38,6.6,0,0,0,0,0,0,11.137777777778,46.624444444444,0
john-stones,D,112,108,5,0,2,0,0,1,0,0,0,90,116,6.7,0,1,0,0,0,0,51.685123966942,27.799173553719,0
ruben-dias,D,148,140,11,0,4,3,1,0,0,0,1,90,154,7.2,0,2,0,0,0,1,45.870625,52.436875,0
josko-gvardiol,D,68,62,1,0,1,4,0,0,0,0,1,45,80,6.7,0,0,0,0,1,0,53.810112359551,81.230337078652,0
rico-lewis,D,60,52,1,0,1,5,1,0,0,0,4,90,75,7.9,0,2,1,1,0,1,57.613414634146,20.886585365854,0
rodri,M,106,99,3,1,2,2,1,1,1,0,1,74,119,7.4,0,1,0,0,0,0,55.878787878788,56.894696969697,0
oscar-bobb,M,42,38,0,0,6,3,1,4,1,0,0,90,55,7,0,1,0,0,0,2,72.109677419355,21.579032258065,0
julian-alvarez,F,31,29,0,0,2,0,1,0,0,0,0,74,41,6.2,0,0,0,0,0,0,66.6125,39.029166666667,0
kevin-de-bruyne,M,75,61,2,1,3,3,1,0,0,0,0,89,98,10,0,4,2,3,0,2,69.727192982456,66.45701754386,0
jack-grealish,M,61,58,2,0,2,3,0,2,0,0,3,90,75,7.4,0,2,0,0,0,0,72.597530864198,87.227160493827,0
erling-haaland,F,16,13,0,0,5,2,1,3,1,0,0,90,24,7.2,0,1,1,1,0,0,70.093333333333,49.5,0
