jordan-pickford,G,48,17,40,0,0,0,0,0,0,0,0,90,61,7.8,0,0,0,0,0,0,13.398648648649,53.717567567568,1
ben-godfrey,D,29,22,2,0,2,1,1,0,0,0,0,90,59,7,0,0,0,0,0,0,48.4,17.363888888889,1
james-tarkowski,D,44,36,2,0,0,10,0,0,0,0,2,90,62,7.8,0,0,0,0,0,1,39.817333333333,35.432,1
jarrad-branthwaite,D,42,36,4,0,4,5,1,1,0,0,0,90,57,7,0,0,0,0,0,1,33.690277777778,66.205555555556,1
ashley-young,D,40,28,9,0,7,6,0,3,1,0,0,90,65,7.1,0,0,0,0,0,5,39.873684210526,86.102631578947,1
jack-harrison,M,20,17,1,0,10,5,4,3,0,0,2,90,44,6.5,0,0,0,0,0,3,58.428301886792,17.009433962264,1
idrissa-gueye,M,53,46,4,0,2,7,0,0,0,0,3,78,63,7.7,0,0,1,0,0,2,51.705194805195,54.763636363636,1
james-garner,M,38,35,1,0,3,3,0,1,1,0,1,90,49,7.3,0,2,0,0,0,1,54.854838709677,46.775806451613,1
dwight-mcneil,M,33,29,1,0,2,6,2,1,1,0,2,90,64,8.2,0,3,0,0,0,3,65.95,69.156944444444,1
abdoulaye-doucoure,M,38,35,3,0,5,1,2,0,0,0,1,90,48,6.4,0,1,0,0,1,0,52.469491525424,55.496610169492,1
youssef-chermiti,F,22,15,0,0,11,5,0,2,1,0,1,89,33,7.1,0,2,0,1,3,0,66.624489795918,49.338775510204,1
mark-flekken,G,40,32,8,0,0,1,0,0,0,0,0,90,51,6.8,0,0,0,0,0,0,10.79014084507,49.691549295775,0
kristoffer-ajer,D,35,29,3,0,1,2,0,0,0,0,0,84,48,6.7,0,0,0,0,0,1,44.646296296296,14.196296296296,0
nathan-collins,D,68,58,9,0,3,5,0,0,0,0,1,90,84,7.4,0,0,0,0,0,1,32.644210526316,40.892631578947,0
ethan-pinnock,D,58,42,7,0,3,5,0,0,0,0,0,90,71,6.7,0,0,0,0,0,1,30.3,59.85,0
sergio-reguilon,D,33,25,5,0,3,6,0,3,2,0,0,77,57,7.1,0,2,0,0,0,3,46.8171875,79.9578125,0
mathias-jensen,M,47,43,5,0,5,2,0,2,0,0,0,90,67,7.5,0,3,0,1,0,2,54.7775,34.1025,0
christian-norgaard,M,39,34,2,0,1,5,0,0,0,0,1,77,47,7,0,0,0,0,0,3,48.140350877193,41.742105263158,0
vitaly-janelt,M,36,29,3,0,2,3,0,0,0,0,2,67,47,6.8,0,1,0,0,0,1,47.588679245283,66.616981132075,0
bryan-mbeumo,F,25,13,2,0,11,7,4,5,1,0,3,90,49,6.2,0,0,0,0,0,0,55.952380952381,18.692063492063,0
ivan-toney,F,21,12,3,0,8,3,1,1,0,0,1,90,37,6.4,0,0,0,0,0,1,57.417647058824,58.41568627451,0
yoane-wissa,F,13,9,0,0,3,3,0,0,0,0,0,68,26,6.9,0,0,0,0,1,3,50.96875,69.44375,0
