bernd-leno,G,44,31,19,0,0,0,0,0,0,0,0,90,51,7.1,0,0,0,0,0,0,11.94,46.665714285714,1
timothy-castagne,D,28,23,2,0,7,3,0,1,0,0,0,90,52,6.5,0,0,0,0,0,1,42.534328358209,16.822388059701,1
calvin-bassey,D,57,37,13,0,3,5,0,0,0,0,1,90,72,6.9,0,0,0,0,0,1,34.280459770115,33.870114942529,1
tim-ream,D,48,33,7,0,0,3,0,0,0,0,0,90,58,6.7,0,0,0,0,0,0,30.9234375,66.2078125,1
antonee-robinson,D,31,17,7,0,4,5,1,2,2,0,1,90,57,6.7,0,0,0,0,0,1,41.815789473684,87.160526315789,1
alex-iwobi,M,33,30,2,0,4,5,2,5,4,0,0,89,49,7.3,0,2,0,0,0,1,54.886885245902,38.985245901639,1
joao-palhinha,M,29,23,3,0,8,13,1,2,1,0,6,90,60,6.7,0,1,0,0,0,5,43.598701298701,54.388311688312,1
harry-wilson,M,20,15,2,0,3,5,0,1,0,0,4,89,39,7.1,0,1,0,0,0,1,59.002040816327,21.70612244898,1
andreas-pereira,M,25,19,4,0,2,4,0,0,0,0,1,81,40,7.4,0,6,0,0,0,1,68.616666666667,52.585416666667,1
willian,M,23,17,2,0,2,3,1,4,3,0,0,76,38,7.4,0,1,0,1,0,0,66.890909090909,71.468181818182,1
rodrigo-muniz,F,11,6,0,0,10,7,1,1,0,0,1,76,23,6.8,0,1,0,0,1,0,67.395,40.5025,1
andre-onana,G,36,25,15,0,0,0,0,0,0,0,0,90,40,7.1,0,0,0,0,0,0,12.055102040816,50.448979591837,0
aaron-wan-bissaka,D,43,36,4,0,4,3,1,0,0,0,0,90,61,7.4,0,0,0,0,0,2,42.822222222222,20.651388888889,0
harry-maguire,D,60,49,12,0,3,10,0,0,0,0,2,90,75,7.7,0,0,0,0,1,0,32.916666666667,32.982222222222,0
jonny-evans,D,49,40,5,0,4,5,0,0,0,0,0,90,59,7.1,0,0,0,0,0,1,33.971232876712,67.461643835616,0
diogo-dalot,D,47,39,8,0,2,2,0,0,0,0,0,90,70,7.9,0,2,0,0,0,2,36.762025316456,80.407594936709,0
scott-mctominay,M,38,29,7,0,6,2,2,1,1,0,0,90,60,6.9,0,0,0,0,0,1,41.415789473684,37.973684210526,0
christian-eriksen,M,46,35,4,0,3,1,1,0,0,0,0,79,55,6.7,0,1,0,0,0,1,43.398550724638,50.963768115942,0
antony,M,28,22,2,0,8,3,0,4,1,0,1,63,44,6.5,0,0,0,0,0,1,56.269811320755,16.035849056604,0
bruno-fernandes,M,38,29,4,0,6,8,1,3,2,0,2,90,67,8.3,0,1,1,0,0,3,66.076923076923,54.835897435897,0
alejandro-garnacho,M,36,29,1,0,8,8,0,5,2,0,3,89,57,7.4,0,2,0,0,1,0,59.475675675676,81.071621621622,0
rasmus-hojlund,F,13,9,0,0,5,4,1,1,1,0,1,79,22,6.8,0,1,0,0,0,0,64.641935483871,48.816129032258,0
