caoimhin-kelleher,G,38,36,5,0,0,0,0,0,0,0,0,90,46,6.9,0,1,0,0,0,0,12.703703703704,44.027777777778,1
bradley-conor,D,49,42,1,0,5,11,2,6,4,0,1,90,81,8.2,0,4,0,0,1,6,54.801086956522,16.766304347826,1
jarell-quansah,D,114,102,13,0,2,4,0,1,0,0,0,90,126,7.2,0,1,0,0,0,2,40.06,27.217777777778,1
virgil-van-dijk,D,51,45,1,0,4,2,0,0,0,0,0,90,57,6.8,0,1,0,0,0,0,39.390909090909,58.981818181818,1
joe-gomez,D,43,39,3,0,6,4,2,1,0,0,1,90,64,6.8,0,1,0,0,0,3,55,72.865789473684,1
alexis-mac-allister,M,64,59,6,1,8,5,3,0,0,0,2,90,91,8,0,5,0,1,0,3,57.820560747664,35.514018691589,1
wataru-endo,M,67,63,2,0,7,3,1,1,1,0,0,90,80,6.8,0,0,0,0,0,2,48.054945054945,46.73956043956,1
dominik-szoboszlai,M,54,48,2,0,6,3,0,0,0,0,1,89,73,7.2,0,3,0,0,0,1,61.531818181818,50.757954545455,1
mohamed-salah,M,37,29,2,0,9,4,3,9,3,0,0,90,74,7.4,0,1,1,0,1,0,71.651807228916,34.584337349398,1
darwin-nunez,F,17,13,0,0,2,1,1,0,0,0,0,83,28,7.1,0,1,0,0,1,1,68.733333333333,54.560606060606,1
luis-diaz,F,37,34,2,0,13,4,1,7,2,0,0,89,52,7.9,0,2,1,2,2,1,68.227941176471,69.805882352941,1
bart-verbruggen,G,36,28,13,0,0,1,0,0,0,0,0,90,54,7.8,0,0,0,0,0,0,7.2230769230769,51.427692307692,0
joel-veltman,D,28,24,2,0,3,11,0,0,0,0,4,90,49,7,0,1,0,0,0,6,35.1296875,21.76875,0
jan-paul-van-hecke,D,64,59,6,0,2,5,0,1,1,0,1,90,74,7.1,0,0,0,0,0,2,29.621590909091,39.194318181818,0
lewis-dunk,D,91,85,11,0,3,6,0,2,1,0,0,90,113,7.8,0,0,0,0,0,1,27.514728682171,60.193023255814,0
pervis-estupinan,D,44,38,2,0,3,5,0,1,0,0,1,89,66,6.7,0,0,0,0,0,4,42.494520547945,82.127397260274,0
pascal-gross,M,89,81,2,0,4,5,1,0,0,0,2,90,106,6.8,0,2,0,0,0,3,41.655833333333,65.0325,0
baleba-carlos,M,33,30,1,0,1,7,0,0,0,0,4,90,53,7.1,0,0,0,0,0,3,35.666153846154,52.14,0
lamptey-tariq,D,7,6,0,0,1,4,0,0,0,0,2,70,20,6.5,0,0,0,0,1,2,40.35652173913,32.960869565217,0
jakub-moder,M,25,20,1,0,6,6,0,4,2,0,1,83,45,6.6,0,0,0,0,1,3,41.677586206897,40.913793103448,0
simon-adingra,M,24,16,1,0,7,6,2,6,3,0,2,83,41,6.5,0,1,0,0,1,1,55.755102040816,83.071428571429,0
danny-welbeck,F,23,14,0,0,7,6,4,1,0,0,2,90,40,7.4,0,1,1,0,0,3,55.892156862745,61.872549019608,0
