thomas-kaminski,G,22,14,10,0,0,0,0,0,0,0,0,90,33,7.3,0,0,0,0,0,0,9.7690476190476,49.295238095238,1
reece-burke,D,43,40,2,1,5,0,0,0,0,0,0,90,56,6.6,0,1,0,1,1,0,43.736363636364,28.095454545455,1
teden-mengi,D,55,45,7,0,3,9,0,0,0,0,1,90,71,7,0,0,0,0,0,3,37.592307692308,41.878021978022,1
amarii-bell,D,3,2,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,29.1,75.3,1
issa-kabore,D,23,20,1,0,6,6,0,3,2,0,3,90,41,6.7,0,0,0,0,0,1,66.305555555556,11.162962962963,1
jordan-clark,M,32,27,5,0,5,6,1,1,0,0,2,90,48,6.7,0,2,0,0,0,3,49.212698412698,56.2,1
ross-barkley,M,53,46,10,0,3,5,1,2,1,0,2,90,67,6.9,0,1,0,0,0,2,53.153246753247,52.884415584416,1
alfie-doughty,M,45,37,6,1,5,1,0,0,0,0,0,90,71,6.9,0,3,0,1,0,0,48.289655172414,71.019540229885,1
andros-townsend,F,7,5,2,0,1,0,0,1,0,0,0,53,13,6.5,0,0,0,0,1,0,69.971428571429,21.921428571429,1
tahith-chong,F,15,14,0,0,7,7,2,3,0,0,5,84,37,7.2,0,0,1,0,0,2,58.795744680851,74.93829787234,1
carlton-morris,F,12,10,0,0,4,4,1,0,0,0,0,90,21,7.9,0,3,1,1,1,0,70.203333333333,59.826666666667,1
emiliano-martinez,G,56,44,23,0,0,0,0,0,0,0,0,90,71,7.3,0,0,0,0,0,0,10.41,52.37,0
matty-cash,D,40,36,5,0,5,4,1,1,0,0,0,90,63,7.3,0,0,0,0,0,4,39.724637681159,15.21884057971,0
ezri-konsa,D,39,39,0,0,1,3,0,0,0,0,1,90,49,6.6,0,0,0,0,0,2,28.607142857143,31.073214285714,0
clement-lenglet,D,68,57,10,0,1,2,0,0,0,0,0,90,80,7,0,0,0,0,0,0,25.994318181818,72.6375,0
alex-moreno,D,30,29,3,0,3,4,1,1,1,0,1,79,52,6.7,0,0,0,0,0,2,31.618644067797,87.715254237288,0
john-mcginn,M,46,41,3,0,6,4,1,0,0,0,0,90,55,7,0,2,0,0,0,3,45.114492753623,38.349275362319,0
douglas-luiz,M,48,43,5,1,4,2,0,0,0,0,2,90,53,7,0,1,0,1,0,0,42.603125,60.4296875,0
leon-bailey,M,29,23,0,1,6,7,1,3,3,0,0,79,46,7.6,0,4,0,1,0,2,52.15737704918,26.585245901639,0
youri-tielemans,M,26,18,1,0,3,3,1,3,2,0,0,79,35,6.7,0,1,0,0,0,0,48.680487804878,38.290243902439,0
jacob-ramsey,M,9,8,0,0,2,1,1,1,1,0,0,29,14,6.8,0,0,0,0,0,0,53.935,77.195,0
ollie-watkins,F,23,17,0,0,10,6,3,0,0,0,3,90,42,8.5,0,0,2,0,1,1,65.859259259259,58.312962962963,0
