thomas-kaminski,G,29,17,28,0,0,0,0,0,0,0,0,90,32,6.8,0,0,0,0,0,0,13.540909090909,43.620454545455,1
issa-kabore,D,31,23,4,0,2,10,0,3,1,0,4,90,66,7.5,0,2,0,0,0,5,48.217567567568,14.147297297297,1
teden-mengi,D,33,24,8,0,2,5,0,1,1,0,0,90,45,6.7,0,1,0,0,0,3,37.77358490566,66.071698113208,1
reece-burke,D,37,28,6,0,2,8,0,0,0,0,1,90,53,7,0,0,0,0,0,4,37.147692307692,37.815384615385,1
daiki-hashioka,D,24,16,3,0,2,2,0,0,0,0,0,62,41,6.6,0,0,0,0,0,1,56.977551020408,11.151020408163,1
ross-barkley,M,60,50,5,0,11,7,3,4,2,0,1,90,79,6.9,0,1,0,0,0,2,52.539175257732,38.668041237113,1
jordan-clark,M,54,41,3,0,8,8,0,3,1,0,1,90,78,7.8,0,3,1,0,0,3,54.546,51.634,1
alfie-doughty,M,26,20,6,0,2,2,0,1,0,0,0,90,55,6.9,0,0,0,0,0,2,64.7578125,81.734375,1
andros-townsend,F,37,32,1,0,6,0,3,1,0,0,0,62,46,6.7,0,3,0,0,0,0,68.537735849057,20.115094339623,1
tahith-chong,F,22,17,2,0,6,4,3,2,0,0,3,80,42,6.7,0,1,0,0,0,1,57.21914893617,70.834042553191,1
carlton-morris,F,27,19,0,0,5,6,2,2,2,0,0,90,43,8.1,0,1,1,0,0,0,68.138596491228,51.794736842105,1
neto,G,35,22,21,0,0,1,0,0,0,0,0,90,51,8.2,0,0,0,0,0,0,7.5412698412698,51.579365079365,0
adam-smith,D,22,15,6,0,7,3,1,0,0,0,0,90,52,7.1,0,1,0,0,0,3,42.29375,17.6046875,0
illia-zabarnyi,D,32,21,8,0,2,3,0,0,0,0,1,90,40,6.1,0,0,0,0,0,1,33.847826086957,37.204347826087,0
lloyd-kelly,D,52,35,16,0,1,6,0,0,0,0,1,90,68,6.7,0,0,0,0,0,3,23.328571428571,75.19880952381,0
milos-kerkez,D,26,19,2,0,4,2,0,0,0,0,0,86,48,6.5,0,0,0,0,0,1,35.586666666667,86.811666666667,0
lewis-cook,M,20,15,4,0,4,2,1,1,0,0,0,87,27,6.6,0,0,0,0,0,1,44.497368421053,46.810526315789,0
ryan-christie,M,38,22,11,0,10,12,2,6,5,0,1,90,73,6.6,0,0,0,0,0,6,43.687878787879,67.507070707071,0
marcus-tavernier,M,20,13,3,0,4,1,0,3,0,0,0,58,31,7.3,0,0,1,0,0,0,54.58,25.314285714286,0
justin-kluivert,M,17,11,0,1,2,3,1,1,1,0,1,68,30,7.4,0,1,0,0,0,1,59.061111111111,35.386111111111,0
antoine-semenyo,M,16,12,3,0,7,5,1,6,3,0,1,68,36,6.6,0,1,0,0,0,1,53.330612244898,74.771428571429,0
dominic-solanke,F,19,15,2,0,9,4,2,1,0,0,0,90,34,6.5,0,2,0,0,0,2,52.162745098039,60.180392156863,0
