andre-onana,G,27,24,9,0,0,0,0,0,0,0,0,90,35,6.8,0,0,0,0,0,0,12.238095238095,47.883333333333,1
diogo-dalot,D,52,43,3,0,4,4,2,4,3,0,1,90,79,6.6,0,1,0,0,0,0,51.498823529412,20.812941176471,1
raphael-varane,D,52,49,2,0,3,0,0,0,0,0,0,90,60,6.4,0,0,0,0,0,0,43,30.077272727273,1
harry-maguire,D,86,80,9,0,4,6,0,1,0,0,1,90,104,8,0,2,1,0,2,1,41.608333333333,62.804166666667,1
victor-lindelof,D,53,51,1,0,2,1,0,0,0,0,0,89,65,7,0,2,0,0,0,0,49.427027027027,78.209459459459,1
kobbie-mainoo,M,31,27,2,0,2,4,1,0,0,0,2,80,43,7.1,0,0,0,0,0,1,50.340816326531,54.059183673469,1
casemiro,M,26,24,3,0,3,5,0,3,1,0,0,53,39,7,0,1,0,0,0,4,47.909090909091,58.513636363636,1
forson-omari,M,18,17,0,0,2,0,0,1,0,0,0,53,21,6.7,0,1,0,1,0,0,59.85,29.466666666667,1
bruno-fernandes,M,63,46,8,0,7,8,2,2,2,0,0,90,89,7.6,0,2,0,0,0,4,61.548076923077,59.076923076923,1
alejandro-garnacho,M,30,24,2,0,6,8,2,4,2,0,5,90,57,7.6,0,3,0,0,0,1,67.505882352941,73.632352941176,1
marcus-rashford,M,16,13,0,0,4,2,0,3,1,0,1,90,27,6.7,0,1,0,0,0,0,63.647058823529,42.838235294118,1
bernd-leno,G,29,21,10,0,0,1,0,0,0,0,0,90,40,8,0,0,0,0,0,0,9.5631578947368,48.526315789474,0
timothy-castagne,D,49,41,5,1,4,4,0,0,0,0,1,90,73,7.5,0,2,0,0,1,2,38.155555555556,16.005555555556,0
tosin-adarabioyo,D,59,54,3,0,1,1,0,0,0,0,0,90,65,6.7,0,0,0,0,0,0,30.954285714286,38.514285714286,0
calvin-bassey,D,39,32,2,0,2,3,1,0,0,0,0,90,53,7.3,0,0,1,0,0,1,31.570689655172,64.046551724138,0
antonee-robinson,D,37,30,4,0,3,5,0,1,1,0,0,90,58,7.4,0,0,0,0,0,3,49.40447761194,80.429850746269,0
harrison-reed,M,38,31,2,0,7,2,2,1,0,0,1,77,51,6.7,0,0,0,0,0,1,48.126666666667,28.448333333333,0
sasa-lukic,M,27,22,1,0,1,7,1,1,1,0,0,90,42,7.2,0,1,0,0,0,4,47.78,51.25,0
harry-wilson,M,27,23,4,0,1,5,0,2,2,0,1,81,39,7.1,0,0,0,0,0,2,52.809090909091,26.720454545455,0
andreas-pereira,M,33,24,3,0,3,1,0,3,1,0,0,68,46,7.2,0,5,0,0,0,0,66.582692307692,46.913461538462,0
alex-iwobi,M,25,21,1,0,8,3,0,3,1,0,1,90,46,7.8,0,4,1,0,0,1,56.273333333333,71.761666666667,0
rodrigo-muniz,F,15,11,0,0,7,4,0,2,0,0,1,90,36,7.3,0,1,0,0,0,1,56.675,44.40625,0
