andre-onana,G,24,18,13,0,0,0,0,0,0,0,0,90,38,6.9,0,0,0,0,0,0,10.471428571429,47.981632653061,1
diogo-dalot,D,30,21,5,0,0,9,0,2,2,0,0,90,64,8.1,0,0,0,0,0,6,37.930379746835,18.222784810127,1
jonny-evans,D,21,18,2,0,1,3,1,0,0,0,0,63,36,6.7,0,0,0,0,0,2,21.970454545455,35.715909090909,1
raphael-varane,D,37,32,4,0,0,2,0,0,0,0,0,90,48,6.6,0,0,0,0,0,2,30.625925925926,62.581481481481,1
aaron-wan-bissaka,D,27,21,2,0,4,5,0,3,2,0,1,90,58,7.2,0,0,0,0,0,2,37.143055555556,82.405555555556,1
christian-eriksen,M,16,13,3,0,3,1,0,0,0,0,0,58,22,6.7,0,2,0,0,0,1,50.424242424242,62.469696969697,1
kobbie-mainoo,M,34,25,4,0,5,5,1,3,2,0,0,90,45,6.4,0,0,0,0,0,1,43.630909090909,55.136363636364,1
alejandro-garnacho,M,26,19,3,0,8,7,1,9,5,0,2,90,49,6.8,0,2,0,1,0,0,50.753448275862,25.065517241379,1
bruno-fernandes,M,38,23,8,0,7,6,2,1,0,0,1,90,60,7,0,1,0,0,0,4,60.925333333333,58.64,1
marcus-rashford,M,17,10,2,0,9,4,4,7,3,0,1,88,43,7,0,0,1,0,1,0,64.882692307692,75.886538461538,1
rasmus-hojlund,F,13,11,2,1,3,3,0,1,1,0,0,90,18,8.1,0,1,1,0,2,1,73.561538461538,53.3,1
guglielmo-vicario,G,35,33,3,0,0,0,0,0,0,0,0,90,48,6.3,0,0,0,0,0,0,12.93275862069,49.556896551724,0
pedro-porro,D,56,45,7,1,5,8,0,2,2,0,1,90,100,8.3,0,5,0,1,0,4,53.148305084746,24.491525423729,0
cristian-romero,D,89,86,2,0,3,7,0,1,1,0,1,90,102,7,0,0,0,0,0,3,35.653448275862,31.61724137931,0
micky-van-de-ven,D,62,60,3,0,2,3,1,0,0,0,1,89,70,6.7,0,0,0,0,0,1,34.343421052632,67.265789473684,0
destiny-udogie,D,39,35,0,0,5,8,1,3,2,0,0,90,75,7.2,0,1,0,0,0,5,42.765591397849,79.197849462366,0
bentancur-rodrigo,M,58,49,6,0,7,3,3,1,0,0,1,90,76,7.6,0,0,1,0,0,2,48.105882352941,34.737647058824,0
pierre-emile-hojbjerg,M,88,77,11,0,7,3,2,2,0,0,0,90,108,6.6,0,1,0,0,0,2,50.404201680672,54.838655462185,0
skipp-oliver,M,28,26,1,0,1,2,0,0,0,0,0,85,37,7.1,0,3,0,0,0,1,61.859090909091,62.840909090909,0
brennan-johnson,F,18,15,0,0,7,5,0,5,1,0,2,90,46,6.7,0,1,0,0,3,2,64.18,17.56,0
richarlison,F,24,18,0,0,3,5,2,1,0,0,2,90,43,7.7,0,1,1,0,0,2,63.246,55.216,0
timo-werner,F,35,32,0,1,6,0,1,1,0,0,0,80,46,7,0,1,0,0,1,0,68.875438596491,83.743859649123,0
