nick-pope,G,22,13,13,0,0,2,0,0,0,0,1,90,32,7.1,0,0,0,0,0,0,9.2886363636364,42.584090909091,1
kieran-trippier,D,75,61,6,0,4,7,1,1,1,0,0,90,106,7.7,0,2,0,0,0,1,46.848760330579,16.466115702479,1
fabian-schar,D,52,40,10,0,7,7,0,1,0,0,2,90,67,7.1,0,0,0,0,0,1,31.802272727273,28.280681818182,1
sven-botman,D,46,41,2,0,3,4,0,0,0,0,0,90,55,7.7,0,1,0,1,0,1,34.152941176471,64.010294117647,1
dan-burn,D,48,39,2,0,2,5,1,1,0,0,1,90,82,7.3,0,1,0,0,0,2,48.534444444444,82.103333333333,1
sean-longstaff,M,40,32,6,0,5,2,2,0,0,0,0,90,52,6.9,0,1,0,0,0,2,54.2,37.16,1
bruno-guimaraes,M,58,50,5,0,13,4,1,5,2,0,1,90,75,6.4,0,1,0,0,0,0,55.779569892473,49.687096774194,1
elliot-anderson,M,38,25,1,0,5,9,1,4,3,0,1,90,54,7.1,0,0,0,0,0,2,57.032352941176,71.463235294118,1
gordon-anthony,F,29,23,0,0,8,6,3,4,2,0,2,90,48,7.1,0,0,0,0,0,2,64.171186440678,29.830508474576,1
callum-wilson,F,27,16,0,0,13,5,7,4,3,0,1,90,49,7.2,0,0,1,0,0,0,72.194915254237,54.48813559322,1
harvey-barnes,M,26,20,1,0,6,8,3,4,3,0,3,83,46,7,0,0,0,0,0,1,68.419230769231,80.361538461539,1
mark-flekken,G,40,17,33,0,1,1,0,0,0,0,1,90,51,6.4,0,0,0,0,0,0,10.35,49.176666666667,0
hickey-aaron,D,18,16,1,0,8,7,1,1,1,0,2,82,34,6.9,0,0,0,0,0,4,49.696,44.998,0
nathan-collins,D,38,31,4,0,2,7,0,1,1,0,0,90,60,6.9,0,0,0,0,0,3,35.684,37.285333333333,0
ethan-pinnock,D,28,20,9,0,0,6,0,0,0,0,0,90,49,7,0,1,0,0,0,3,32.181818181818,60.485454545455,0
ben-mee,D,25,20,5,0,5,4,2,0,0,0,0,72,36,6.6,0,0,0,0,0,3,34.869565217391,75.865217391304,0
rico-henry,D,11,9,3,0,1,4,1,0,0,0,1,42,17,6.9,0,0,0,0,0,2,51.754545454545,78.745454545455,0
mathias-jensen,M,50,38,7,0,8,3,1,0,0,0,0,90,71,7.5,0,3,0,1,0,3,55.004651162791,40.941860465116,0
christian-norgaard,M,36,28,0,0,8,4,0,0,0,0,0,72,44,6.6,0,0,0,0,0,3,53.652542372881,54.03220338983,0
vitaly-janelt,M,28,22,3,0,2,4,0,1,1,0,0,72,35,7.1,0,2,0,0,0,2,43.648888888889,75.082222222222,0
bryan-mbeumo,F,24,16,1,0,12,4,0,4,0,0,0,90,38,6.5,0,0,0,0,0,1,59.323636363636,31.749090909091,0
yoane-wissa,F,22,13,0,0,7,13,2,4,4,0,2,90,43,7.3,0,1,0,0,1,1,59.916393442623,59.449180327869,0
