martin-dubravka,G,13,8,6,0,0,0,0,0,0,0,0,90,28,6.8,0,0,0,0,0,0,8.8452380952381,48.183333333333,1
kieran-trippier,D,59,39,7,1,2,6,0,1,1,0,1,90,98,8.1,0,2,1,1,0,3,57.000943396226,19.666981132075,1
fabian-schar,D,48,32,15,0,7,6,0,1,0,0,2,90,68,6.6,0,1,0,0,0,3,37.142352941176,34.982352941176,1
sven-botman,D,37,30,7,0,6,3,0,1,0,0,0,90,45,6.1,0,0,0,0,0,2,32.581481481481,56,1
dan-burn,D,33,18,5,0,8,9,0,1,1,0,0,64,51,5.4,0,0,0,0,0,5,34.171641791045,84.186567164179,1
sean-longstaff,M,31,26,1,0,8,7,2,0,0,0,2,90,48,8.1,0,0,2,0,0,4,53.501724137931,36.791379310345,1
bruno-guimaraes,M,51,41,6,1,7,7,1,4,2,0,4,90,74,7.7,0,2,0,2,0,1,51.407058823529,55.258823529412,1
lewis-miley,M,37,31,3,1,8,11,1,1,0,0,2,90,53,7,0,2,0,0,0,7,53.369230769231,65.032307692308,1
jacob-murphy,F,31,19,2,0,4,5,1,3,2,0,2,90,58,6.9,0,1,0,0,0,1,69.431343283582,33.465671641791,1
gordon-anthony,F,16,9,1,0,2,1,0,1,1,0,0,45,21,6.8,0,0,0,0,0,0,60.965384615385,57.811538461538,1
miguel-almiron,M,34,29,2,0,1,2,0,0,0,0,1,63,39,6.8,0,1,0,0,0,0,54.312765957447,68.853191489362,1
thomas-kaminski,G,40,22,24,0,0,0,0,0,0,0,0,90,50,6.2,0,0,0,0,0,0,12.520967741935,52.070967741936,0
teden-mengi,D,42,39,1,0,4,0,1,0,0,0,0,90,58,6.5,0,0,0,0,0,0,41.392857142857,22.72,0
gabriel-osho,D,24,19,4,0,2,4,0,1,1,0,1,90,41,7.1,0,0,1,0,0,2,33.052173913043,52.613043478261,0
amarii-bell,D,42,34,1,0,5,3,0,1,0,0,1,90,62,6.1,0,0,0,0,0,2,38.107894736842,79.344736842105,0
ogbene-chiedozie,M,31,29,0,0,6,10,1,7,5,0,5,90,62,7.5,0,0,0,0,0,0,56.682894736842,17.843421052632,0
albert-sambi-lokonga,M,45,42,3,0,4,11,2,1,1,0,2,90,65,7.2,0,1,0,0,0,5,43.266666666667,46.469333333333,0
ross-barkley,M,56,51,5,1,6,8,0,4,2,0,0,90,78,8.9,0,5,1,1,0,4,46.972222222222,53.253333333333,0
alfie-doughty,M,29,21,7,0,1,1,0,1,0,0,1,79,46,6.4,0,1,0,0,0,0,45.850980392157,81.441176470588,0
jordan-clark,M,19,12,1,0,9,3,5,2,2,0,1,68,38,6.5,0,0,0,0,0,0,55.6,22.479545454545,0
carlton-morris,F,20,16,1,1,1,4,0,0,0,0,0,79,31,8.2,0,2,1,1,0,0,47.4225,63.4375,0
adebayo-elijah,F,10,9,1,0,11,5,3,4,1,0,1,88,37,6.7,0,0,1,0,0,0,62.461224489796,46.040816326531,0
