martin-dubravka,G,20,19,1,0,1,0,0,0,0,0,0,90,33,7.4,0,0,0,0,0,0,9.8925,49.81,1
valentino-livramento,D,75,69,3,0,4,6,2,1,0,0,2,90,101,7.5,0,3,0,0,0,3,52.749107142857,12.3875,1
fabian-schar,D,37,30,5,0,2,3,0,0,0,0,0,45,39,6.5,0,0,0,0,0,0,37.151063829787,29.53829787234,1
dan-burn,D,47,44,1,0,3,1,0,0,0,0,0,90,59,7.7,0,0,0,0,0,0,24.8,58.592857142857,1
lewis-hall,D,50,47,5,0,4,4,0,0,0,0,1,82,67,7.1,0,0,0,0,0,1,44.15125,81.36,1
sean-longstaff,M,55,44,5,0,5,4,2,0,0,0,0,90,68,6.9,0,1,0,0,0,3,59.505194805195,27.985714285714,1
bruno-guimaraes,M,90,71,12,0,8,9,0,5,4,0,2,90,116,8.1,0,2,1,0,0,2,55.437037037037,52.728888888889,1
elliot-anderson,M,27,24,0,0,4,3,2,1,0,0,1,66,39,6.8,0,0,0,0,0,1,60.088372093023,68.648837209302,1
jacob-murphy,F,38,33,1,1,2,3,1,1,1,0,0,66,53,8.1,0,4,0,1,0,2,70.874545454545,19.385454545455,1
alexander-isak,F,20,15,0,0,4,3,2,3,3,0,0,90,34,8.5,0,2,2,0,3,0,72.181578947368,53.060526315789,1
gordon-anthony,F,40,32,2,1,5,7,2,5,3,0,2,82,58,8,0,3,0,1,0,1,65.911594202899,71.233333333333,1
wesley-foderingham,G,35,18,29,0,0,2,0,0,0,0,0,90,46,7,0,0,0,0,0,2,9.2901960784314,53.164705882353,0
mason-holgate,D,19,15,3,0,6,2,1,1,0,0,0,67,31,5.7,0,0,0,0,0,2,37.2275,21.1875,0
anel-ahmedhodzic,D,23,19,4,0,3,3,1,1,0,0,0,90,39,7.4,0,2,1,0,0,2,34.159574468085,42.502127659574,0
auston-trusty,D,20,18,2,0,0,1,0,0,0,0,1,90,35,7.3,0,2,0,1,0,0,26.6675,63.8225,0
bogle-jayden,D,31,25,0,0,7,6,1,1,0,0,2,90,55,6.3,0,0,0,0,0,2,56.834848484848,14.145454545455,0
gustavo-hamer,M,30,25,2,1,4,2,0,2,1,0,1,79,43,7.1,0,5,0,1,0,0,56.85,37.430769230769,0
oliver-arblaster,M,66,58,9,0,7,9,1,7,5,0,3,90,88,6.9,0,0,0,0,0,1,47.867647058824,52.120588235294,0
andre-brooks,M,22,19,2,0,8,5,3,2,0,0,0,70,37,6.3,0,0,0,0,0,4,45.621153846154,71.817307692308,0
ben-osborn,M,58,47,6,0,0,0,0,0,0,0,0,90,67,6.4,0,1,0,0,0,0,44.210666666667,80.136,0
cameron-archer,F,14,11,0,0,3,1,0,1,1,0,0,67,23,6.8,0,2,0,0,0,0,68.14,52.45,0
ben-brereton-diaz,F,31,25,2,0,7,6,2,3,3,0,0,90,46,7.5,0,0,0,0,0,1,64.016129032258,66.611290322581,0
