matt-turner,G,31,22,14,0,0,1,0,0,0,0,1,90,45,6.8,0,0,0,0,0,0,11.858928571429,49,1
gonzalo-montiel,D,29,19,6,0,3,2,0,0,0,0,0,53,42,6.2,0,0,0,0,0,1,42.959183673469,13.05306122449,1
joe-worrall,D,55,46,6,0,3,1,0,0,0,0,0,90,62,6.5,0,0,0,0,0,0,32.721739130435,36.594202898551,1
scott-mckenna,D,59,49,7,0,2,6,0,0,0,0,0,90,72,7.2,0,1,0,0,0,0,31.05,64.670238095238,1
ola-aina,D,38,31,1,0,4,6,0,2,1,0,1,90,62,6.8,0,1,0,0,0,3,44.913157894737,57.310526315789,1
ibrahim-sangare,M,39,30,4,0,8,6,0,2,0,0,0,90,56,7,0,0,0,0,1,5,38.438666666667,34.985333333333,1
orel-mangala,M,28,24,1,0,2,4,0,0,0,0,1,71,38,6.8,0,1,0,0,0,1,52.21,53.002,1
anthony-elanga,M,26,20,2,0,4,4,2,2,1,0,2,90,48,6.8,0,1,0,0,0,0,60.589285714286,16.296428571429,1
morgan-gibbs-white,M,40,33,4,0,8,8,0,6,4,0,1,90,68,7.7,0,2,0,0,0,1,63.638095238095,45.245238095238,1
callum-hudson-odoi,M,22,17,4,0,2,4,0,2,2,0,1,71,32,8,0,3,1,0,0,1,69.181081081081,79.267567567568,1
taiwo-awoniyi,F,11,9,0,1,4,3,0,0,0,0,0,88,14,7,0,2,0,0,1,1,69.572727272727,56.554545454545,1
james-trafford,G,51,45,10,0,0,1,0,0,0,0,0,90,57,6.6,0,0,0,0,0,0,14.317142857143,48.934285714286,0
connor-roberts,D,39,36,1,0,1,2,1,0,0,0,2,90,59,6.8,0,0,0,0,0,0,43.490163934426,25.967213114754,0
ameen-al-dakhil,D,66,60,6,0,3,0,0,0,0,0,0,90,75,6.7,0,0,0,0,0,0,31.605952380952,34.788095238095,0
jordan-beyer,D,76,72,5,0,3,2,1,0,0,0,1,87,90,6.7,0,0,0,0,0,0,32.626530612245,66.847959183673,0
charlie-taylor,D,43,35,7,0,7,3,0,1,0,0,0,90,66,7,0,0,0,0,0,2,45.039743589744,84.315384615385,0
cullen-josh,M,58,50,7,0,4,9,0,0,0,0,3,90,74,7.2,0,0,0,0,0,3,41.99010989011,53.361538461538,0
josh-brownhill,M,33,23,3,0,1,5,1,0,0,0,2,90,51,7.2,0,0,0,0,0,2,58.073015873016,67.428571428571,0
johann-gudmundsson,M,22,17,6,0,1,3,0,0,0,0,2,63,32,6.7,0,0,0,0,0,1,51.975757575758,21.90303030303,0
zeki-amdouni,F,21,18,2,0,6,4,0,3,1,0,3,64,33,7.1,0,0,1,0,0,0,51.558536585366,35.773170731707,0
luca-koleosho,M,26,16,1,0,11,6,3,7,4,0,1,76,48,6.7,0,2,0,0,1,1,66.616393442623,79.854098360656,0
foster-lyle,F,19,13,1,1,6,7,1,1,1,0,2,90,33,6.8,0,1,0,0,0,0,59.036956521739,54.719565217391,0
