matz-sels,G,16,10,8,0,0,0,0,0,0,0,0,90,25,7.2,0,0,0,0,0,0,10.225806451613,45.264516129032,1
williams-neco,D,29,24,3,0,6,8,3,3,2,0,2,90,61,7,0,0,0,0,0,3,39.212,10.690666666667,1
felipe,D,38,33,6,0,4,5,1,1,0,0,1,90,47,6.9,0,1,0,0,0,2,31.705660377358,23.28679245283,1
murillo,D,46,29,15,0,2,2,0,0,0,0,1,90,58,7.2,0,0,0,0,0,1,27.346268656716,66.691044776119,1
nuno-tavares,D,50,41,4,0,4,5,1,0,0,0,1,90,88,7.4,0,1,0,0,0,3,44.808823529412,85.752941176471,1
nicolas-dominguez,M,46,43,3,1,3,6,0,0,0,0,0,86,57,7.4,0,1,0,1,0,6,41.9,36.098529411765,1
danilo,M,51,45,4,0,4,3,0,0,0,0,0,90,66,7.5,0,0,0,0,0,2,45.21,57.2975,1
anthony-elanga,M,33,28,1,1,2,2,0,1,0,0,0,90,46,7.3,0,4,0,1,0,2,58.603703703704,24,1
morgan-gibbs-white,M,39,33,1,0,9,3,3,3,1,0,2,89,60,6.8,0,2,0,0,0,0,61.5625,44.769444444444,1
callum-hudson-odoi,M,40,34,2,0,3,6,0,2,1,0,3,90,57,8.4,0,4,1,2,0,2,57.884848484848,81.975757575758,1
taiwo-awoniyi,F,9,8,1,0,4,3,0,1,0,0,3,67,19,7.4,0,0,1,0,0,0,60.347826086957,59.95652173913,1
alphonse-areola,G,22,17,6,0,0,2,0,0,0,0,0,90,35,8,0,0,0,0,0,1,8.7093023255814,49.348837209302,0
vladimir-coufal,D,32,24,6,0,1,2,0,0,0,0,0,76,46,6.7,0,0,0,0,0,1,49.654901960784,13.105882352941,0
kurt-zouma,D,46,39,7,0,3,0,0,0,0,0,0,89,50,6.3,0,0,0,0,0,0,35.463636363636,29.307272727273,0
nayef-aguerd,D,78,66,12,0,5,3,1,0,0,0,1,90,89,6.9,0,0,0,0,0,0,43.008910891089,76.942574257426,0
emerson-palmieri,D,40,29,5,0,2,5,0,2,1,0,1,83,64,7,0,0,0,0,0,3,51.165333333333,86.64,0
kalvin-phillips,M,38,32,2,0,4,4,0,1,0,0,1,71,48,6.4,0,0,0,0,0,1,52.113793103448,38.129310344828,0
edson-alvarez,M,47,44,2,0,4,6,1,2,0,0,0,90,65,6.9,0,0,0,0,0,4,46.730864197531,55.040740740741,0
jarrod-bowen,M,18,13,0,0,7,2,2,1,0,0,1,90,33,6.6,0,1,0,0,0,1,60.861904761905,27.292857142857,0
james-ward-prowse,M,49,45,1,0,0,6,0,1,1,0,2,90,69,7.6,0,1,0,0,0,3,58.794736842105,60.667105263158,0
mohammed-kudus,M,32,26,1,0,9,8,3,7,5,0,2,90,64,6.6,0,0,0,0,1,1,64.313095238095,60.570238095238,0
michail-antonio,F,9,7,1,0,10,5,4,3,0,0,3,76,31,6.1,0,0,0,0,0,0,70.888888888889,55.2,0
