guglielmo-vicario,G,37,34,6,0,0,0,0,0,0,0,0,90,55,8.3,0,0,0,0,0,0,8.0666666666667,49.969333333333,1
pedro-porro,D,43,35,4,0,5,2,0,1,1,0,0,88,65,7.1,0,1,0,0,0,1,39.750632911392,22.392405063291,1
cristian-romero,D,76,67,6,0,1,1,0,0,0,0,0,90,91,7.6,0,0,0,0,0,1,28.928712871287,33.412871287129,1
micky-van-de-ven,D,60,56,1,0,2,2,0,2,1,0,0,90,68,7,0,0,0,0,0,1,31.402702702703,72.451351351351,1
destiny-udogie,D,24,21,0,0,7,4,1,5,2,0,0,70,55,6.5,0,1,0,0,1,1,53.028358208955,81.192537313433,1
pape-matar-sarr,M,36,31,2,0,1,4,0,0,0,0,1,76,46,8.5,0,1,1,0,0,2,60.3875,34.164285714286,1
yves-bissouma,M,51,45,3,0,6,10,1,2,1,0,3,90,74,7.6,0,0,0,0,0,5,42.888372093023,50.845348837209,1
dejan-kulusevski,M,19,11,0,0,4,0,0,2,0,0,0,88,33,6.7,0,1,0,0,0,0,57.3825,19.355,1
james-maddison,M,44,36,6,0,4,5,2,2,2,0,1,90,62,7.6,0,2,0,0,0,2,61.708823529412,63.839705882353,1
heung-min-son,F,38,30,0,0,2,6,0,5,3,0,2,90,55,7.9,0,4,0,1,0,1,63.274193548387,75.543548387097,1
richarlison,F,14,9,2,0,11,1,3,3,1,0,0,70,28,6.4,0,1,0,0,0,0,57.779411764706,57.679411764706,1
andre-onana,G,28,22,10,0,0,1,0,0,0,0,0,90,40,7.3,0,0,0,0,0,0,9.7980769230769,46.801923076923,0
aaron-wan-bissaka,D,38,33,2,0,3,1,0,1,1,0,0,66,51,6.6,0,1,0,0,0,0,41.419047619048,15.157142857143,0
raphael-varane,D,44,38,4,0,1,4,0,1,1,0,0,90,56,7.1,0,0,0,0,1,1,39.745070422535,34.328169014085,0
lisandro-martinez,D,38,34,3,0,5,5,0,0,0,0,1,90,53,6.5,0,1,0,0,0,3,30.035294117647,62.644117647059,0
luke-shaw,D,41,34,4,0,1,3,0,1,1,0,0,90,65,7.7,0,6,0,1,0,1,49.860273972603,85.256164383562,0
casemiro,M,36,29,4,0,5,7,0,1,0,0,1,90,55,6.8,0,0,0,0,1,3,51.842857142857,39.5,0
mason-mount,M,18,15,1,0,5,1,0,1,0,0,0,85,27,6.6,0,2,0,0,0,1,53.252941176471,53.611764705882,0
antony,M,19,14,2,0,5,7,1,3,0,0,1,66,40,7.2,0,1,0,1,0,6,58.780434782609,17.24347826087,0
bruno-fernandes,M,49,35,7,0,3,4,0,1,1,0,1,90,77,7.8,0,4,0,2,1,1,53.242352941176,36.217647058824,0
alejandro-garnacho,M,16,9,0,0,2,4,0,2,1,0,2,66,25,7.2,0,1,0,0,0,0,69.711764705882,72.041176470588,0
marcus-rashford,M,16,13,0,0,5,2,4,2,1,0,1,85,34,6,0,2,0,0,1,0,65,43.710810810811,0
