lukasz-fabianski,G,20,12,17,0,0,0,0,0,0,0,0,90,27,7.2,0,0,0,0,0,0,9.5848484848485,51.715151515152,1
vladimir-coufal,D,30,19,6,0,2,0,0,1,0,0,0,90,55,6.6,0,0,0,0,0,0,44.998484848485,13.971212121212,1
konstantinos-mavropanos,D,30,27,7,0,5,5,0,0,0,0,0,90,40,7.1,0,1,0,0,0,2,37.19298245614,37.421052631579,1
kurt-zouma,D,28,24,5,0,4,1,0,0,0,0,0,90,37,7.2,0,0,1,0,0,0,37.066666666667,64.873333333333,1
emerson-palmieri,D,36,32,3,0,2,5,0,1,1,0,1,90,59,7,0,0,0,0,0,3,46.941176470588,84.929411764706,1
jarrod-bowen,M,17,15,1,1,7,3,1,5,1,0,2,90,44,7.4,0,3,0,1,0,0,73.00350877193,17.173684210526,1
lucas-paqueta,M,41,29,4,0,6,10,2,2,2,0,1,90,61,7.3,0,0,0,0,0,6,44.572727272727,44.545454545455,1
tomas-soucek,M,32,26,2,0,3,3,0,1,1,0,0,90,49,7.3,0,1,0,0,0,1,39.743548387097,63.004838709677,1
james-ward-prowse,M,26,21,3,0,2,2,0,0,0,0,1,90,36,7.3,0,2,0,1,0,1,58.56511627907,68.783720930233,1
mohammed-kudus,M,32,27,2,0,12,11,2,11,6,0,3,90,68,6.9,0,0,0,0,2,2,55.563218390805,72.97816091954,1
michail-antonio,F,10,6,0,0,12,3,3,3,0,0,1,90,34,6,0,0,0,0,1,1,65.676470588235,53.517647058824,1
guglielmo-vicario,G,28,26,3,0,0,3,0,0,0,0,0,90,41,7.4,0,0,0,0,0,0,10.15306122449,50.130612244898,0
pedro-porro,D,52,41,4,0,7,6,3,2,1,0,1,90,90,7.3,0,0,0,0,0,4,55.848571428571,16.166666666667,0
cristian-romero,D,82,79,6,0,5,8,0,0,0,0,1,90,93,7.3,0,0,0,0,0,3,38.99009009009,30.461261261261,0
micky-van-de-ven,D,67,64,2,0,2,5,0,0,0,0,0,90,78,6.9,0,0,0,0,0,3,33.849438202247,70.816853932584,0
destiny-udogie,D,53,47,1,0,4,8,2,2,1,0,3,90,82,7.6,0,0,0,0,0,3,44.716494845361,75.842268041237,0
yves-bissouma,M,97,93,2,0,5,2,1,1,1,0,0,82,105,7.1,0,1,0,0,0,1,47.094871794872,54.649572649573,0
bentancur-rodrigo,M,86,76,1,0,3,7,0,1,0,0,2,70,99,7.3,0,1,0,0,0,1,52.846296296296,44.266666666667,0
brennan-johnson,F,35,26,2,0,4,2,2,2,2,0,0,89,50,7.3,0,1,1,0,0,0,69.90701754386,18.263157894737,0
james-maddison,M,53,47,3,0,5,5,2,3,2,0,2,70,72,7.2,0,1,0,0,0,1,64.975324675325,47.509090909091,0
timo-werner,F,27,19,1,1,1,3,0,0,0,0,1,82,41,7.4,0,1,0,1,1,2,57.147916666667,89.45625,0
heung-min-son,F,37,32,0,0,2,1,0,0,0,0,0,90,44,7.3,0,3,0,0,0,0,66.339583333333,53.191666666667,0
