jose-sa,G,21,13,12,0,0,1,0,0,0,0,0,90,29,6.1,0,0,0,0,0,0,8.6,49.778947368421,1
nelson-semedo,M,38,27,2,0,4,8,0,3,3,0,0,90,66,6.9,0,1,0,0,0,3,48.215584415584,15.464935064935,1
max-kilman,D,47,41,6,0,1,6,1,0,0,0,0,90,62,7.2,0,0,0,0,0,5,35.191428571429,26.75,1
craig-dawson,D,39,32,7,0,2,5,0,0,0,0,2,90,51,6.9,0,0,0,0,0,2,31.683606557377,60.470491803279,1
toti-gomes,D,36,30,3,1,2,2,1,1,1,0,0,90,46,7.6,0,1,0,0,0,1,38.384905660377,74.981132075472,1
pedro-neto,F,28,21,2,1,4,7,0,5,3,0,3,77,51,7.3,0,1,0,0,0,1,68.871186440678,31.993220338983,1
mario-lemina,M,41,40,2,0,3,7,0,2,2,0,1,86,51,7.8,0,1,1,0,0,3,45.99,46.577142857143,1
boubacar-traore,M,31,28,4,0,7,3,3,0,0,0,1,54,41,6.3,0,0,0,0,0,2,50.328,60.562,1
rayan-ait-nouri,M,25,23,0,0,2,13,0,4,3,0,4,90,54,7.5,0,0,0,0,1,6,46.852380952381,85.777777777778,1
hee-chan-hwang,F,28,24,2,0,9,4,3,4,3,0,1,90,42,7.2,0,2,1,0,1,0,56.847272727273,38.472727272727,1
matheus-cunha,F,23,17,1,0,7,14,1,10,7,0,2,90,54,7.5,0,0,0,0,0,3,65.078260869565,63.198550724638,1
nick-pope,G,13,9,5,0,0,0,0,0,0,0,0,90,27,6.8,0,0,0,0,0,0,8.5024390243902,52.317073170732,0
kieran-trippier,D,66,51,7,0,9,2,2,1,1,0,0,90,96,6.2,0,2,0,1,0,1,50.595412844037,18.437614678899,0
jamaal-lascelles,D,69,59,4,0,8,4,1,0,0,0,1,90,79,6.3,0,0,0,0,0,2,33.833684210526,31.652631578947,0
fabian-schar,D,92,84,9,0,2,6,0,0,0,0,1,90,107,7.9,0,0,0,0,0,4,36.489075630252,64.435294117647,0
dan-burn,D,53,48,1,0,7,2,1,0,0,0,2,90,79,6.6,0,0,0,0,0,0,38.597777777778,78.818888888889,0
sean-longstaff,M,44,41,3,0,8,4,1,1,0,0,1,90,60,6.6,0,1,0,0,0,3,52.494285714286,39.084285714286,0
bruno-guimaraes,M,61,55,4,0,10,8,4,5,4,0,3,90,86,6.9,0,1,0,0,0,1,48.21862745098,53.686274509804,0
joelinton,M,44,40,0,0,8,6,2,2,2,0,1,90,64,7.2,0,3,0,0,0,2,53.208641975309,70.749382716049,0
miguel-almiron,M,21,18,1,0,3,4,1,0,0,0,2,72,29,6.8,0,0,0,0,0,2,53.245945945946,33.035135135135,0
callum-wilson,F,11,3,1,0,7,3,4,2,1,0,1,90,26,7.7,0,0,2,0,0,1,69.29,31.903333333333,0
gordon-anthony,F,31,29,3,0,10,3,2,7,2,0,1,90,47,6.4,0,0,0,0,0,0,67.817857142857,74.266071428571,0
