emiliano-martinez,G,50,38,17,0,0,0,0,0,0,0,0,90,60,7,0,0,0,0,0,0,13.843661971831,47.507042253521,1
matty-cash,D,35,31,3,0,3,4,0,1,1,0,1,90,56,7.1,0,1,0,0,0,1,44.231884057971,20.35652173913,1
ezri-konsa,D,67,59,7,0,0,5,0,1,1,0,2,90,76,7.2,0,1,0,0,0,2,30.362025316456,28.310126582278,1
pau-torres,D,37,34,5,0,5,2,0,0,0,0,0,90,44,6.9,0,0,0,0,0,0,39.681355932203,67.103389830508,1
lucas-digne,D,26,23,0,0,5,5,0,1,0,0,1,71,41,7.2,0,2,0,1,0,2,51.590740740741,85.109259259259,1
john-mcginn,M,17,14,1,0,5,3,2,1,1,0,2,71,26,6.6,0,1,0,0,0,0,59.731428571429,29.137142857143,1
amadou-onana,M,32,28,1,0,2,2,1,1,1,0,0,45,42,6.6,0,0,0,0,0,1,50.4875,43.560416666667,1
youri-tielemans,M,67,53,6,0,4,3,0,1,0,0,2,90,91,7.4,0,2,0,0,0,1,58.489423076923,64.799038461538,1
jacob-ramsey,M,38,30,0,0,1,3,0,1,1,0,1,90,50,7.2,0,2,0,0,0,0,57.229310344828,75.684482758621,1
morgan-rogers,M,12,10,1,0,7,1,4,0,0,0,0,57,19,6.5,0,1,0,0,0,1,61.009090909091,44.090909090909,1
ollie-watkins,F,12,8,0,0,5,5,2,2,1,0,1,82,24,7.3,0,2,0,1,0,1,72.709677419355,57.645161290323,1
mark-travers,G,15,10,13,0,0,0,0,0,0,0,0,90,34,8.6,0,0,0,0,0,0,6.3979166666667,51.785416666667,0
julian-araujo,D,8,8,1,0,2,1,1,0,0,0,0,30,13,6.4,0,0,0,0,0,1,36.09375,27.81875,0
illia-zabarnyi,D,35,30,4,0,0,3,0,0,0,0,0,90,46,7,0,0,0,0,0,2,32.71320754717,39.250943396226,0
marcos-senesi,D,64,51,13,0,6,10,0,1,1,0,1,90,77,7.2,0,1,0,0,0,3,35.596907216495,70.774226804124,0
milos-kerkez,D,21,19,1,0,2,2,1,0,0,0,1,81,33,7,0,2,0,0,0,1,45.926315789474,81.447368421053,0
ryan-christie,M,43,39,5,0,5,5,2,1,1,0,1,81,62,7.1,0,0,0,0,0,2,50.367123287671,46.290410958904,0
lewis-cook,M,48,43,4,0,2,2,0,0,0,0,0,90,61,7,0,0,0,0,0,2,48.895588235294,58.892647058824,0
dango-ouattara,F,9,5,2,0,7,3,0,2,0,0,1,90,34,6.7,0,0,0,0,1,1,48.436956521739,35.717391304348,0
justin-kluivert,M,10,9,1,0,2,2,0,2,1,0,1,64,20,6.8,0,0,0,0,1,0,66.135714285714,66.525,0
antoine-semenyo,M,22,17,2,0,5,8,0,2,2,0,3,90,44,7.1,0,2,0,0,1,2,59.58813559322,84.64406779661,0
enes-unal,F,11,8,0,0,5,6,0,2,0,0,1,64,24,6.7,0,0,0,0,1,1,59.884210526316,41.289473684211,0
