emiliano-martinez,G,39,33,13,0,0,1,0,0,0,0,0,90,51,7.7,0,0,0,0,0,0,8.2145161290323,50.364516129032,1
matty-cash,D,25,21,1,0,5,2,1,0,0,0,0,90,37,6.3,0,0,0,0,0,2,36.114893617021,15.96170212766,1
ezri-konsa,D,46,42,3,0,0,0,0,0,0,0,0,90,51,6.4,0,0,0,0,0,0,31.913725490196,35.329411764706,1
pau-torres,D,63,57,8,0,1,2,0,0,0,0,0,90,75,7.3,0,0,0,0,0,2,27.039240506329,69.59746835443,1
lucas-digne,D,36,29,0,0,2,3,0,0,0,0,1,90,58,6.4,0,2,0,0,1,2,46.949275362319,83.689855072464,1
boubacar-kamara,M,58,53,5,0,5,7,0,1,1,0,0,90,67,7,0,0,0,0,0,6,45.097368421053,35.536842105263,1
amadou-onana,M,49,44,0,0,4,4,1,0,0,0,0,90,58,6.4,0,0,0,0,0,3,45.6078125,60.3109375,1
john-mcginn,M,21,18,1,1,6,4,0,1,0,0,2,90,28,7.2,0,4,0,0,0,2,51.916279069767,26.048837209302,1
youri-tielemans,M,35,27,2,0,2,4,0,0,0,0,1,90,46,7.3,0,2,0,1,0,3,49.257142857143,54.328571428571,1
morgan-rogers,M,36,30,0,1,4,8,1,7,5,0,2,89,56,8.8,0,2,1,1,0,1,51.8453125,73.121875,1
jhon-duran,F,20,15,3,0,1,2,0,0,0,0,1,80,29,7.3,0,0,1,0,2,1,52.713157894737,50.694736842105,1
stefan-ortega,G,26,23,5,0,0,0,0,0,0,0,0,90,36,7.1,0,0,0,0,0,0,13.061363636364,51.05,0
rico-lewis,D,66,60,1,0,2,4,0,1,1,0,2,90,82,6.9,0,1,0,0,0,1,50.104494382022,46.86404494382,0
manuel-akanji,D,79,74,6,0,4,2,0,0,0,0,1,90,89,7,0,1,0,0,0,1,45.603773584906,30.38679245283,0
john-stones,D,59,59,6,0,0,0,0,0,0,0,0,45,59,7,0,2,0,0,0,0,46.26,47.898333333333,0
josko-gvardiol,D,60,55,0,0,3,0,1,0,0,0,0,90,67,6,0,0,0,0,0,0,45.542857142857,72.555844155844,0
ilkay-gundogan,M,18,17,0,0,1,2,1,0,0,0,2,73,28,6.7,0,1,0,0,0,0,71.326470588235,63.685294117647,0
mateo-kovacic,M,64,60,2,0,5,4,2,1,0,0,1,84,75,6.9,0,0,0,0,0,2,58.475609756098,50.131707317073,0
bernardo-silva,M,35,31,4,0,3,1,1,3,1,0,0,90,50,6.8,0,2,0,0,0,0,56.732786885246,26.9,0
phil-foden,M,40,38,4,0,5,3,4,1,0,0,3,90,63,7.9,0,1,1,0,0,0,64.776119402985,42.25223880597,0
jack-grealish,M,41,36,1,0,8,7,4,5,2,0,4,90,68,7.4,0,2,0,1,0,1,69.325675675676,80.754054054054,0
erling-haaland,F,12,8,0,0,2,2,0,1,0,0,0,90,18,6.6,0,0,0,0,0,1,63.259090909091,51.418181818182,0
