kepa-arrizabalaga,G,22,9,20,0,0,0,0,0,0,0,0,90,33,7.6,0,0,0,0,0,0,8.9162162162162,48.778378378378,1
adam-smith,D,24,16,6,0,2,3,0,0,0,0,0,90,38,7,0,0,0,0,0,2,40.761363636364,10.693181818182,1
illia-zabarnyi,D,19,15,6,0,1,1,1,1,1,0,0,90,28,6.9,0,0,0,0,0,0,35.028571428571,34.1,1
dean-huijsen,D,24,16,9,0,0,5,0,0,0,0,0,90,43,8.2,0,0,1,0,0,4,26.623529411765,63.703921568627,1
milos-kerkez,D,21,13,5,0,1,5,0,1,1,0,2,90,54,7.4,0,2,0,0,0,2,38.440322580645,86.374193548387,1
tyler-adams,M,22,18,3,0,8,11,1,0,0,0,2,90,47,7.2,0,2,0,0,0,7,45.059420289855,61.221739130435,1
ryan-christie,M,19,12,4,0,6,2,2,2,0,0,0,77,38,7,0,2,0,0,0,2,47.352083333333,46.2125,1
antoine-semenyo,M,22,19,2,0,11,4,5,2,2,0,0,85,43,6.9,0,3,0,1,0,1,53.157894736842,21.836842105263,1
justin-kluivert,M,8,7,0,0,3,5,1,3,1,0,2,64,23,6.6,0,0,0,0,1,2,52.584848484848,44.257575757576,1
marcus-tavernier,M,26,19,2,1,8,4,2,4,1,0,0,85,45,7.2,0,3,0,2,1,3,54.708620689655,70.455172413793,1
evanilson,F,10,6,0,0,11,4,1,1,0,0,2,85,25,6.5,0,2,0,0,1,0,63.512195121951,45.268292682927,1
fraser-forster,G,30,27,3,0,0,1,0,1,1,0,0,90,42,8.2,0,0,0,0,0,0,6.7208333333333,48.222916666667,0
archie-gray,D,44,35,3,0,2,5,0,3,2,0,0,90,72,7.1,0,0,0,0,0,3,44.978481012658,27.515189873418,0
radu-dragusin,D,60,48,10,0,1,3,0,0,0,0,0,90,71,6.5,0,0,0,0,0,2,29.409756097561,39.35243902439,0
ben-davies,D,33,30,1,0,5,4,0,0,0,0,1,62,39,6.6,0,0,0,0,0,0,40.224074074074,69.496296296296,0
destiny-udogie,D,48,43,3,0,3,13,1,2,2,0,2,90,78,7.6,0,0,0,0,0,6,49.169473684211,82.152631578947,0
pape-matar-sarr,M,29,25,0,0,4,3,0,0,0,0,1,57,44,6.7,0,1,0,0,0,2,51.874509803922,33.419607843137,0
yves-bissouma,M,61,49,6,0,5,7,2,2,1,0,1,80,79,6.9,0,1,0,0,0,5,52.833333333333,56.266666666667,0
james-maddison,M,47,39,2,0,5,7,1,3,0,0,6,80,70,7.2,0,2,0,0,0,1,60.598765432099,56.783950617284,0
dejan-kulusevski,M,41,32,1,0,8,2,5,2,0,0,0,90,81,7,0,1,0,0,0,2,65.487368421053,29.92,0
dominic-solanke,F,16,12,0,0,6,4,5,1,1,0,2,90,36,7,0,1,0,0,0,1,65.96511627907,45.625581395349,0
brennan-johnson,F,37,28,2,0,3,5,0,2,2,0,2,90,48,6.8,0,1,0,0,1,1,60.373076923077,67.626923076923,0
