kepa-arrizabalaga,G,35,24,22,0,0,2,0,0,0,0,0,90,43,7.2,0,0,0,0,0,0,12.338709677419,52.579032258065,1
adam-smith,D,26,20,6,0,3,0,0,0,0,0,0,68,35,6.5,0,0,0,0,0,0,42.833333333333,17.171428571429,1
illia-zabarnyi,D,53,41,7,0,3,4,0,0,0,0,0,90,63,7,0,0,0,0,0,1,35.277922077922,34.719480519481,1
dean-huijsen,D,65,49,13,0,4,0,0,0,0,0,0,90,76,6.9,0,1,0,0,0,0,35.234090909091,68.817045454545,1
milos-kerkez,D,31,24,4,0,2,2,1,0,0,0,2,90,53,7,0,2,0,0,0,0,46.903278688525,82.493442622951,1
ryan-christie,M,47,39,10,0,6,7,1,3,1,0,2,90,83,8.4,0,5,0,0,0,3,56.971,39.32,1
lewis-cook,M,48,35,6,0,2,6,0,0,0,0,0,90,70,7.4,0,2,0,0,0,4,49.232142857143,48.415476190476,1
antoine-semenyo,M,21,15,3,0,4,8,3,2,1,0,3,68,43,7.1,0,1,0,0,0,0,63.903846153846,29.542307692308,1
justin-kluivert,M,26,20,0,0,5,1,1,0,0,0,0,80,39,6.8,0,0,0,0,0,0,59.240816326531,65.304081632653,1
dango-ouattara,F,31,21,4,0,10,8,0,1,0,0,0,90,56,7.1,0,3,0,0,1,4,52.874666666667,77.488,1
evanilson,F,13,11,0,0,5,3,0,0,0,0,2,80,23,7.2,0,3,0,0,0,0,63.838235294118,45.058823529412,1
lukasz-fabianski,G,35,15,25,0,0,0,0,0,0,0,0,90,51,8.2,0,0,0,0,0,0,10.264179104478,47.762686567164,0
vladimir-coufal,D,31,18,4,0,2,10,0,2,2,0,0,90,61,7.5,0,1,0,0,0,2,44.961538461538,20.035897435897,0
konstantinos-mavropanos,D,51,40,13,0,3,4,0,1,0,0,1,90,63,7,0,1,0,0,0,1,31.875342465753,33.908219178082,0
max-kilman,D,43,34,13,0,4,8,0,0,0,0,0,90,62,7.6,0,0,0,0,0,3,33.707407407407,64.185185185185,0
aaron-wan-bissaka,D,39,33,4,0,5,2,0,2,1,0,0,89,53,6.8,0,1,0,0,0,1,43.758823529412,74.825,0
edson-alvarez,M,42,32,2,0,2,4,0,2,2,0,0,75,49,6.8,0,0,0,0,0,0,45.87619047619,43.125396825397,0
lucas-paqueta,M,37,27,3,0,7,2,0,0,0,0,1,90,51,7.4,0,3,1,0,1,0,56.912903225806,45.975806451613,0
tomas-soucek,M,29,17,3,0,5,5,1,1,1,0,0,90,44,6.9,0,0,0,0,0,1,50.763793103448,43.860344827586,0
carlos-soler,M,33,29,3,0,3,1,1,0,0,0,0,56,44,6.9,0,1,0,0,0,0,48.064,64.698,0
mohammed-kudus,M,31,26,2,0,6,7,0,8,3,0,3,75,52,7.1,0,3,0,0,0,1,52.198529411765,73.923529411765,0
jarrod-bowen,M,28,21,0,0,4,1,1,3,1,0,0,90,41,7.1,0,1,0,0,0,0,67.170833333333,35.045833333333,0
