mark-flekken,G,61,37,35,0,0,0,0,0,0,0,0,90,71,6.2,0,0,0,0,0,0,12.342307692308,47.534615384615,1
mads-roerslev,D,38,31,3,0,9,2,1,1,1,0,0,90,55,6.3,0,0,0,0,0,0,43.97397260274,17.605479452055,1
nathan-collins,D,67,61,8,0,2,3,0,0,0,0,1,90,79,6.7,0,0,0,0,0,0,33.913978494624,33.589247311828,1
sepp-van-den-berg,D,45,38,4,0,5,5,0,0,0,0,0,75,55,7.3,0,0,0,0,0,2,32.827692307692,63.564615384615,1
keane-lewis-potter,F,41,33,6,0,4,6,1,2,1,0,3,90,56,6.7,0,0,0,0,0,1,42.963888888889,84.141666666667,1
vitaly-janelt,M,27,23,2,0,0,1,0,0,0,0,0,90,32,6.5,0,0,0,0,0,0,46.492105263158,45.078947368421,1
christian-norgaard,M,30,23,3,0,3,2,0,0,0,0,0,75,39,6.2,0,0,0,0,0,1,41.389583333333,45.004166666667,1
yarmoliuk-yehor,M,38,34,1,0,2,4,2,1,1,0,1,90,54,6.9,0,0,0,0,0,2,47.385,52.098333333333,1
damsgaard-mikkel,M,45,38,4,1,6,1,1,1,0,0,1,75,60,6.7,0,1,0,0,0,0,44.826582278481,27.027848101266,1
bryan-mbeumo,F,22,17,0,0,6,7,1,3,1,0,2,90,44,7.3,0,1,1,0,0,3,52.472549019608,30.833333333333,1
yoane-wissa,F,12,11,1,0,7,3,2,2,0,0,0,75,22,6.4,0,1,0,0,0,1,48.1375,51.228125,1
david-raya,G,28,15,15,0,0,1,0,0,0,0,0,90,39,6.5,0,0,0,0,0,0,13.036170212766,46.912765957447,0
jurrien-timber,D,38,32,4,0,2,3,0,1,0,0,1,90,55,6.8,0,1,0,0,0,2,55.312698412698,18.212698412698,0
william-saliba,D,67,62,0,0,2,2,0,1,1,0,0,90,71,6.8,0,0,0,0,0,0,40.403529411765,33.388235294118,0
gabriel-magalhaes,D,45,42,3,0,1,2,0,0,0,0,1,90,54,7.2,0,1,0,0,0,0,42.137704918033,70.795081967213,0
riccardo-calafiori,D,38,30,3,0,7,8,2,1,0,0,0,78,53,7.1,0,1,0,0,1,3,47.837878787879,81.137878787879,0
martin-odegaard,M,53,48,3,0,0,1,0,0,0,0,1,88,60,7.2,0,1,0,0,0,0,62.934920634921,34.72380952381,0
thomas-partey,M,61,51,3,0,1,8,0,0,0,0,1,90,72,7.4,0,0,0,0,1,5,51.450602409639,43.961445783133,0
mikel-merino,M,40,32,1,0,5,6,1,1,0,0,0,78,54,8,0,0,1,0,0,3,60.713043478261,63.347826086957,0
ethan-nwaneri,F,24,22,0,0,4,2,0,3,2,0,0,78,41,7.1,0,2,0,0,1,0,69.844680851064,21.689361702128,0
gabriel-jesus,F,32,25,1,0,6,6,2,4,4,0,0,89,51,8.1,0,0,1,0,2,1,70.468965517241,56.524137931034,0
gabriel-martinelli,F,22,16,1,0,2,6,0,1,1,0,1,90,44,8,0,4,1,0,1,1,66.731578947368,66.142105263158,0
