mark-flekken,G,40,33,13,0,1,0,0,0,0,0,0,90,46,6.8,0,0,0,0,0,0,11.603448275862,51.837931034483,1
sepp-van-den-berg,D,31,24,2,0,5,9,0,0,0,0,0,90,48,6.1,0,0,0,0,0,2,41.64328358209,21.420895522388,1
nathan-collins,D,42,32,6,0,6,10,0,0,0,0,1,90,62,7.5,0,1,0,0,0,1,33.920987654321,37.993827160494,1
ethan-pinnock,D,52,39,5,0,2,8,0,1,1,0,0,90,64,7.1,0,1,0,0,0,0,36.365384615385,70.901282051282,1
keane-lewis-potter,F,32,28,4,0,2,2,0,0,0,0,1,90,53,6.9,0,3,0,0,0,0,43.7578125,81.321875,1
mathias-jensen,M,27,22,1,0,3,5,1,1,1,0,4,79,45,6.9,0,0,0,0,0,0,56.645454545455,40.378181818182,1
christian-norgaard,M,50,33,3,0,4,9,0,0,0,0,4,83,65,6.9,0,0,0,0,0,1,43.733333333333,45.971794871795,1
vitaly-janelt,M,50,36,14,1,3,2,0,0,0,0,0,90,59,7.3,0,2,0,1,0,1,47.939130434783,62.498550724638,1
bryan-mbeumo,F,23,17,1,1,2,3,2,0,0,0,1,89,43,6.9,0,1,0,0,0,1,66.378723404255,18.482978723404,1
yoane-wissa,F,21,18,1,0,6,4,3,3,1,0,2,90,38,8.3,0,0,2,0,0,0,62.272727272727,49.506818181818,1
damsgaard-mikkel,M,34,25,1,0,6,9,4,2,1,0,1,89,62,7.7,0,1,1,0,0,4,50.805479452055,59.37397260274,1
kepa-arrizabalaga,G,27,18,16,0,0,0,0,0,0,0,0,90,36,6.9,0,1,0,0,0,0,12.981395348837,46.462790697674,0
adam-smith,D,28,19,5,0,5,0,2,0,0,0,0,84,46,5.9,0,0,0,0,0,0,50.766666666667,15.33137254902,0
illia-zabarnyi,D,44,34,8,0,3,5,0,0,0,0,0,90,55,6.6,0,0,0,0,0,1,36.959722222222,39.176388888889,0
marcos-senesi,D,39,27,11,0,3,3,0,0,0,0,0,67,51,6.2,0,0,0,0,0,2,45.063793103448,70.425862068966,0
milos-kerkez,D,35,28,6,0,5,3,0,0,0,0,0,90,57,6.5,0,1,0,0,0,2,47.73768115942,85.428985507246,0
lewis-cook,M,42,36,2,1,8,5,0,1,0,0,1,90,62,7.3,0,1,0,1,0,3,52.167088607595,56.127848101266,0
tyler-adams,M,37,30,3,0,0,5,0,0,0,0,0,67,52,7.1,0,1,0,0,0,4,57.042857142857,46.851785714286,0
antoine-semenyo,M,32,23,1,0,8,7,1,1,1,0,2,90,54,6.9,0,0,0,0,0,1,59.531168831169,37.81038961039,0
ryan-christie,M,28,23,2,0,6,5,1,3,2,0,1,76,47,7,0,2,0,1,0,1,57.577777777778,38.114285714286,0
justin-kluivert,M,22,17,3,0,6,2,1,1,0,0,1,76,40,7.2,0,1,1,0,0,1,66.996,72.904,0
evanilson,F,14,8,2,0,9,8,1,2,2,0,2,90,28,7.7,0,2,1,0,1,0,63.052380952381,48.542857142857,0
