mark-flekken,G,50,38,29,0,0,1,0,0,0,0,0,90,66,8.4,0,0,0,0,0,1,10.311111111111,49.061728395062,1
mads-roerslev,D,37,29,6,0,4,2,4,0,0,0,2,90,55,6.5,0,0,0,0,0,0,37.608196721311,15.747540983607,1
nathan-collins,D,52,46,3,0,3,8,1,0,0,0,1,90,69,7.3,0,0,0,0,0,5,33.174698795181,31.407228915663,1
ethan-pinnock,D,42,34,4,0,6,7,1,2,0,0,0,90,59,6.6,0,0,0,0,0,2,31.854794520548,54.582191780822,1
kristoffer-ajer,D,35,25,5,0,2,2,0,1,1,0,0,90,44,6.5,0,0,0,0,0,0,38.228,82.734,1
christian-norgaard,M,42,31,4,0,3,5,1,0,0,0,1,90,58,7.2,0,1,0,1,0,3,43.060606060606,51.701515151515,1
vitaly-janelt,M,29,27,4,0,2,7,0,2,0,0,2,74,44,7.3,0,1,0,0,0,3,42.309433962264,52.320754716981,1
mathias-jensen,M,31,24,3,0,4,3,1,1,0,0,2,84,51,6.8,0,1,0,0,0,0,59.675806451613,65.354838709677,1
bryan-mbeumo,F,25,14,0,0,6,3,1,1,1,0,2,89,40,8,0,3,1,1,0,0,64.12,27.35,1
yoane-wissa,F,26,22,0,1,1,6,0,1,1,0,4,84,37,8.1,0,1,1,0,0,0,56.888888888889,45.328888888889,1
kevin-schade,F,15,8,1,0,10,11,4,5,2,0,1,74,34,6.4,0,0,0,0,1,3,60.8625,77.004166666667,1
dean-henderson,G,22,13,11,0,0,0,0,0,0,0,0,90,29,6.6,0,0,0,0,0,0,8.7542857142857,48.002857142857,0
chris-richards,D,40,36,2,0,9,5,0,0,0,0,0,84,52,6.5,0,0,0,0,1,4,40.14328358209,24.277611940299,0
joachim-andersen,D,82,61,20,0,4,3,1,0,0,0,0,90,94,6.4,0,0,0,0,0,1,38.032407407407,46.64537037037,0
marc-guehi,D,44,42,6,0,1,6,0,0,0,0,1,90,58,6.9,0,0,0,0,0,1,36.653521126761,72.592957746479,0
daniel-munoz,M,43,33,3,0,9,7,0,3,0,0,0,90,68,6.9,0,1,0,0,0,4,53.432926829268,17.167073170732,0
adam-wharton,M,31,24,1,0,4,6,0,1,0,0,3,74,48,7.2,0,0,0,0,0,3,57.037931034483,36.65,0
will-hughes,M,48,43,0,0,2,5,0,0,0,0,0,84,58,7,0,1,0,0,0,5,56.915151515151,68.568181818182,0
tyrick-mitchell,M,37,31,4,0,3,1,1,2,0,0,0,90,70,6.4,0,2,0,0,0,1,49.852380952381,84.871428571429,0
daichi-kamada,M,28,23,1,0,7,2,0,3,1,0,0,70,37,6.8,0,2,0,0,1,1,59.76,38.913333333333,0
eberechi-eze,F,41,31,1,0,7,5,1,6,2,0,1,90,63,7.2,0,0,0,0,0,1,65.180281690141,69.638028169014,0
jean-philippe-mateta,F,10,7,1,0,5,1,0,2,0,0,0,45,15,6.3,0,0,0,0,0,0,69.631578947368,53.421052631579,0
