bart-verbruggen,G,35,21,17,1,0,0,0,0,0,0,0,90,41,7.1,0,1,0,0,0,0,8.963829787234,47.76170212766,1
minteh-yankuba,F,12,8,0,0,10,12,1,4,3,0,2,89,35,9.5,0,3,2,1,1,5,48.719642857143,23.916071428571,1
joel-veltman,D,19,15,1,0,0,1,0,0,0,0,1,90,34,7.2,0,0,0,0,0,0,36.035,23.885,1
jan-paul-van-hecke,D,41,38,5,0,0,3,0,0,0,0,0,90,46,7.1,0,0,0,0,0,1,27.690566037736,32.156603773585,1
adam-webster,D,59,46,16,0,1,4,0,0,0,0,1,90,74,7.5,0,0,0,0,0,2,27.393827160494,68.259259259259,1
lamptey-tariq,D,25,21,2,0,7,4,1,3,1,0,1,90,48,6.7,0,0,0,0,0,2,43.531666666667,83.626666666667,1
rutter-georginio,M,13,10,1,0,10,4,3,1,1,0,1,73,26,6.8,0,1,0,1,1,1,50.388888888889,41.491666666667,1
baleba-carlos,M,26,16,4,0,4,7,1,0,0,0,0,84,46,7.1,0,0,0,0,0,5,38.963793103448,52.920689655172,1
jack-hinshelwood,D,27,24,3,0,2,3,0,1,0,0,0,74,34,6.8,0,0,0,0,0,1,37.92,60.4275,1
mitoma-kaoru,M,30,21,0,0,4,7,0,3,1,0,3,90,51,7.4,0,0,1,0,0,1,56.787096774194,77.385483870968,1
danny-welbeck,F,13,9,0,2,5,4,2,0,0,0,2,84,21,7.6,0,2,0,1,0,1,63.014814814815,52.674074074074,1
filip-jorgensen,G,40,35,8,0,0,0,0,0,0,0,0,90,46,6,0,0,0,0,0,0,10.196078431373,43.83137254902,0
gusto-malo,D,59,53,2,0,4,2,0,0,0,0,1,65,75,6.4,0,1,0,0,0,1,50.213095238095,26.165476190476,0
trevoh-chalobah,D,100,95,3,0,3,5,0,0,0,0,0,90,107,6.4,0,0,0,0,0,2,38.421848739496,27.531932773109,0
levi-colwill,D,122,114,3,0,1,8,0,0,0,0,0,90,131,6.9,0,0,0,0,1,3,34.902857142857,57.262857142857,0
marc-cucurella,D,83,77,4,0,8,7,0,0,0,0,2,90,101,6.7,0,1,0,1,0,3,46.927433628319,80.930088495575,0
moises-caicedo,M,64,60,3,0,5,3,1,1,0,0,1,65,75,6.4,0,0,0,0,0,2,46.661363636364,53.440909090909,0
enzo-fernandez,M,76,61,6,0,6,7,1,0,0,0,3,90,94,6.7,0,0,0,0,0,3,53.217272727273,60.337272727273,0
noni-madueke,M,7,6,0,0,1,2,1,0,0,0,1,21,13,6.6,0,1,0,0,0,1,52.292307692308,14.838461538462,0
cole-palmer,M,39,36,2,0,4,7,1,5,3,0,3,90,57,6.9,0,0,0,0,0,0,63.320634920635,36.803174603175,0
pedro-neto,F,22,18,2,0,8,3,1,6,1,0,0,65,37,5.8,0,1,0,0,1,1,64.280952380952,34.490476190476,0
christopher-nkunku,F,36,33,0,0,3,0,1,0,0,0,0,90,42,6.8,0,0,0,0,0,0,57.772340425532,41.01914893617,0
