bart-verbruggen,G,26,21,8,0,1,0,0,0,0,0,0,90,37,7.5,0,0,0,0,0,0,8.426,50.236,1
joel-veltman,D,36,32,5,0,1,3,0,0,0,0,3,90,52,6.9,0,0,0,0,0,0,37.21935483871,18.032258064516,1
jan-paul-van-hecke,D,74,71,8,0,1,2,0,0,0,0,1,90,85,7.4,0,1,0,1,0,0,32.023076923077,37.063736263736,1
igor-julio,D,77,72,5,0,1,3,0,0,0,0,1,90,88,6.9,0,0,0,0,0,0,29.35625,72.2,1
pervis-estupinan,D,37,32,1,0,7,5,2,0,0,0,1,90,60,6.9,0,2,0,2,1,4,41.285915492958,86.581690140845,1
simon-adingra,M,9,9,1,0,2,2,0,1,0,0,0,65,18,6.5,0,0,0,0,0,2,49.4875,20.595833333333,1
jack-hinshelwood,D,28,26,2,0,3,1,0,0,0,0,0,57,34,6.4,0,0,0,0,0,1,43.158974358974,55.733333333333,1
yasin-ayari,M,22,19,0,0,4,1,0,1,0,0,0,45,28,6.3,0,0,0,0,1,1,46.72972972973,55.6,1
mitoma-kaoru,M,27,19,2,0,3,1,0,3,0,0,0,89,45,6.7,0,1,0,1,0,1,60.3,80.964705882353,1
rutter-georginio,M,13,11,1,0,5,2,1,0,0,0,1,66,22,6.2,0,0,0,0,1,1,54.535714285714,46.521428571429,1
danny-welbeck,F,20,16,1,0,6,4,2,0,0,0,1,90,33,6.2,0,0,0,0,0,2,55.725,48.738636363636,1
ederson,G,56,51,15,0,0,1,0,0,0,0,0,90,66,7.4,0,0,0,0,0,0,14.045569620253,50.348101265823,0
kyle-walker,D,90,81,4,0,0,3,0,0,0,0,0,90,106,7,0,1,0,1,0,3,44.938938053097,18.107079646018,0
jahmai-simpson-pusey,D,106,98,4,0,3,3,0,0,0,0,1,90,115,6.5,0,0,0,0,0,1,36.09126984127,39.35,0
josko-gvardiol,D,77,74,2,0,3,3,1,0,0,0,0,90,86,6.7,0,0,0,0,0,2,44.930769230769,72.1,0
rico-lewis,D,50,47,1,0,3,5,2,1,1,0,3,90,68,6.5,0,0,0,0,0,1,48.610666666667,72.408,0
mateo-kovacic,M,81,76,4,0,5,5,3,5,5,0,0,90,96,8,0,5,0,2,0,0,48.610476190476,43.648571428571,0
savio,M,29,23,2,0,6,7,4,5,4,0,1,74,52,7,0,2,0,0,0,2,61.937288135593,14.896610169492,0
phil-foden,M,45,39,1,0,2,4,0,3,1,0,2,90,59,7.4,0,4,0,1,1,1,56.76875,42.2265625,0
ilkay-gundogan,M,42,39,3,0,2,3,1,3,2,0,1,72,55,6.9,0,0,0,0,0,0,53.430508474576,49.345762711864,0
matheus-nunes,M,34,28,2,0,7,4,1,1,1,0,1,90,43,6.6,0,1,0,0,0,2,63.589090909091,75.541818181818,0
erling-haaland,F,12,9,0,0,2,3,0,0,0,0,1,90,22,7,0,0,1,0,0,0,68.253125,46.325,0
