robert-sanchez,G,28,17,13,0,0,0,0,0,0,0,0,90,42,7.6,0,0,0,0,0,0,12.16724137931,47.489655172414,1
moises-caicedo,M,64,56,5,0,2,4,0,1,1,0,0,90,76,7.4,0,3,0,0,0,2,50.537209302326,32.951162790698,1
wesley-fofana,D,52,50,0,0,2,4,0,1,1,0,1,60,57,6.8,0,0,0,0,0,2,38.45223880597,33.616417910448,1
levi-colwill,D,109,101,4,0,5,3,0,0,0,0,0,90,118,7.7,0,0,0,0,0,2,37.225190839695,55.882442748092,1
marc-cucurella,D,111,107,4,0,2,5,1,0,0,0,0,90,129,7.9,0,0,0,0,0,4,44.630496453901,75.452482269504,1
romeo-lavia,M,50,44,1,0,7,1,0,2,0,0,0,86,58,6.5,0,0,0,0,0,1,48.50985915493,45.929577464789,1
enzo-fernandez,M,58,48,3,0,8,5,2,1,1,0,1,90,73,7.5,0,2,1,0,0,3,60.50987654321,70.901234567901,1
pedro-neto,F,25,20,3,0,2,3,0,4,3,0,0,90,41,6.9,0,0,0,0,0,0,68.026666666667,37.924444444444,1
cole-palmer,M,30,27,4,1,1,2,0,0,0,0,1,86,40,9,0,2,1,0,0,1,66.98,37.082222222222,1
sancho-jadon,M,31,31,0,0,6,2,2,3,1,0,1,71,40,6.7,0,0,0,0,1,0,65.8,85.357142857143,1
nicolas-jackson,F,17,13,1,0,6,2,3,3,1,0,0,71,32,6.6,0,1,1,0,2,1,73.344444444444,61.125,1
emiliano-martinez,G,26,22,9,0,0,2,0,0,0,0,1,45,35,6.8,0,0,0,0,0,1,9.5785714285714,49.185714285714,0
matty-cash,D,23,18,3,0,2,4,0,0,0,0,0,90,35,6.4,0,0,0,0,0,3,28.270454545455,16.988636363636,0
ezri-konsa,D,37,35,2,0,2,4,1,0,0,0,3,90,48,6.3,0,0,0,0,0,1,22.359259259259,29.648148148148,0
pau-torres,D,73,66,5,0,0,1,0,0,0,0,0,90,82,6.8,0,0,0,0,0,1,29.121348314607,66.769662921348,0
lucas-digne,D,28,22,2,0,3,3,0,1,0,0,0,90,43,6.2,0,1,0,0,0,1,42.178431372549,88.609803921569,0
boubacar-kamara,M,21,19,1,0,5,4,1,3,1,0,1,62,31,6.4,0,0,0,0,0,1,38.60487804878,36.39512195122,0
youri-tielemans,M,46,39,6,0,1,4,1,1,1,0,2,90,56,7.1,0,4,0,1,0,1,44.533333333333,52.291666666667,0
jaden-philogene-bidace,M,8,5,0,0,5,6,1,2,0,0,2,66,28,6.1,0,1,0,0,0,4,51.223684210526,14.352631578947,0
morgan-rogers,M,14,10,0,0,4,3,1,2,1,0,1,66,22,6.3,0,0,0,0,0,1,45.485714285714,50.389285714286,0
john-mcginn,M,18,16,3,0,2,7,2,0,0,0,5,90,38,7,0,1,0,1,1,0,48.424390243902,70.707317073171,0
ollie-watkins,F,9,8,0,0,3,2,0,3,1,0,1,84,20,6.5,0,1,0,0,0,0,66.930434782609,53.5,0
