robert-sanchez,G,33,17,21,0,0,0,0,0,0,0,0,90,39,7.1,0,0,0,0,0,0,9.8085106382979,46.748936170213,1
gusto-malo,D,53,47,2,0,2,3,1,1,1,0,1,90,73,8,0,2,0,0,1,1,47.852272727273,28.384090909091,1
trevoh-chalobah,D,54,50,7,0,0,2,0,0,0,0,1,90,66,7.4,0,1,0,1,0,0,39.176712328767,30.980821917808,1
levi-colwill,D,67,60,8,0,6,1,0,0,0,0,0,90,77,7,0,0,0,0,1,0,35.67032967033,64.279120879121,1
marc-cucurella,D,44,34,4,0,1,4,0,0,0,0,0,90,69,7.3,0,0,0,0,0,3,46.535443037975,84.517721518987,1
moises-caicedo,M,41,37,5,0,4,9,0,1,1,0,3,90,51,7.6,0,0,0,0,0,4,47.71935483871,63.290322580645,1
enzo-fernandez,M,45,41,3,0,6,3,1,3,1,0,1,89,61,7.6,0,1,1,1,0,1,61.77,36.554285714286,1
pedro-neto,F,32,32,4,0,6,5,2,3,1,0,3,90,55,7.5,0,2,0,1,0,1,72.435483870968,29.203225806452,1
cole-palmer,M,23,20,3,1,4,5,1,2,1,0,1,89,47,7.9,0,2,0,1,0,3,61.784210526316,66.589473684211,1
sancho-jadon,M,26,23,1,0,6,1,3,1,0,0,0,68,38,6.6,0,1,0,0,0,1,68.845098039216,80.252941176471,1
nicolas-jackson,F,10,8,2,0,6,2,0,2,0,0,2,82,23,6.3,0,0,0,0,3,0,64.944827586207,49.620689655172,1
guglielmo-vicario,G,35,29,8,0,0,2,0,0,0,0,0,90,50,7.5,0,0,0,0,0,0,12.060344827586,48.922413793103,0
djed-spence,D,40,34,4,0,4,5,0,4,2,0,0,90,60,6.9,0,0,0,0,1,1,35.842465753425,31.91095890411,0
cristian-romero,D,60,52,7,0,2,3,0,0,0,0,1,90,72,6.7,0,0,0,0,0,2,30.130487804878,29.885365853659,0
micky-van-de-ven,D,57,52,6,0,4,5,0,1,0,0,1,88,67,6.6,0,0,0,0,0,2,30.861842105263,65.184210526316,0
destiny-udogie,D,41,36,3,0,5,8,0,2,1,0,1,90,58,6.9,0,1,0,0,1,4,42.903896103896,81.245454545455,0
bergvall-lucas,M,17,15,0,0,1,3,0,3,2,0,0,64,31,6.9,0,0,0,0,0,1,51.190625,25.215625,0
bentancur-rodrigo,M,55,51,1,0,4,6,1,1,0,0,1,90,77,7,0,0,0,0,0,2,44.604494382022,43.522471910112,0
james-maddison,M,35,34,2,0,5,0,1,0,0,0,0,88,40,6.7,0,0,0,0,2,0,54.865957446809,65.078723404255,0
wilson-odobert,M,18,18,0,0,4,1,3,1,1,0,0,64,31,6.6,0,1,0,0,0,0,57.918918918919,21.178378378378,0
dominic-solanke,F,10,6,1,0,5,5,1,1,1,0,1,90,21,6.7,0,0,0,0,1,1,54.017857142857,43.457142857143,0
heung-min-son,F,35,30,1,0,2,1,1,0,0,0,1,90,46,6.6,0,0,0,0,0,0,65.101818181818,77.794545454545,0
