dean-henderson,G,38,20,22,0,0,0,0,0,0,0,0,90,51,7.2,0,1,0,0,0,0,11.355405405405,47.437837837838,1
jefferson-lerma,M,41,33,7,0,1,3,0,0,0,0,1,90,58,7.1,0,0,0,0,0,1,34.543076923077,30.395384615385,1
maxence-lacroix,D,44,37,6,0,4,8,0,0,0,0,3,89,60,7,0,0,0,0,0,1,33.855714285714,46.422857142857,1
marc-guehi,D,44,40,4,0,5,3,3,0,0,0,0,90,59,6.3,0,1,0,0,0,3,34.949206349206,74.261904761905,1
daniel-munoz,M,27,22,2,0,10,6,1,1,0,0,1,90,51,7.2,0,1,1,0,2,3,43.659090909091,14.29696969697,1
adam-wharton,M,28,18,3,0,4,4,1,1,1,0,1,82,47,6.9,0,2,0,0,0,2,48.142307692308,43.434615384615,1
daichi-kamada,M,38,30,3,0,5,8,1,1,0,0,2,90,50,6.9,0,0,0,0,0,5,42.474603174603,56.457142857143,1
tyrick-mitchell,M,10,7,3,0,2,3,1,0,0,0,1,63,29,6.5,0,0,0,0,0,2,34.369444444444,86.205555555556,1
ismaila-sarr,F,15,11,1,0,8,4,2,2,0,0,2,90,33,6.5,0,0,0,0,0,2,51.081818181818,27.386363636364,1
eberechi-eze,F,19,17,1,2,9,6,2,8,4,0,1,82,37,7.5,0,2,0,0,0,1,52.436170212766,74.204255319149,1
jean-philippe-mateta,F,7,4,0,0,3,3,0,1,0,0,0,68,18,7.2,0,0,1,0,1,3,56.82380952381,46.461904761905,1
bart-verbruggen,G,29,27,6,0,0,1,0,0,0,0,0,90,38,6.7,0,0,0,0,0,0,11.923404255319,48.878723404255,0
jack-hinshelwood,D,42,35,1,0,1,3,0,1,0,0,0,89,60,6.7,0,0,0,0,0,2,51.446875,16.2953125,0
jan-paul-van-hecke,D,102,87,17,0,3,4,0,0,0,0,2,90,113,6.8,0,1,0,0,0,0,41.039669421488,36.37520661157,0
lewis-dunk,D,116,103,10,0,0,3,0,0,0,0,0,90,125,6.7,0,0,0,0,0,1,37.171212121212,63.344696969697,0
pervis-estupinan,D,50,46,0,0,5,4,2,1,1,0,0,81,69,6.4,0,0,0,0,0,0,49.190588235294,85.009411764706,0
baleba-carlos,M,57,50,4,0,5,9,2,2,2,0,3,90,77,7.4,0,0,0,0,0,3,52.094444444444,50.72,0
diego-gomez,M,34,29,1,0,7,5,3,2,1,0,0,72,46,6.6,0,2,0,0,1,3,48.613793103448,57.391379310345,0
minteh-yankuba,F,14,10,3,1,6,2,3,2,0,0,0,72,30,6.6,0,1,0,1,0,1,56.538888888889,18.697222222222,0
matt-oriley,M,15,12,2,0,5,10,0,2,1,0,2,63,35,7,0,0,0,0,0,6,56.095238095238,31.921428571429,0
mitoma-kaoru,M,17,12,0,0,6,4,1,3,1,0,1,63,32,6.7,0,1,0,0,0,2,64.93,81.7975,0
danny-welbeck,F,9,8,0,0,6,4,1,1,0,0,1,90,27,7,0,0,1,0,0,2,70.645454545455,56.078787878788,0
