jordan-pickford,G,36,18,28,0,0,0,0,0,0,0,0,90,41,6.6,0,0,0,0,0,0,13.898113207547,53.020754716981,1
jake-obrien,D,21,14,7,0,5,5,1,1,0,0,1,90,43,6.5,0,0,0,0,2,3,37.88,16.86,1
james-tarkowski,D,30,25,9,0,3,5,0,0,0,0,3,90,47,7.7,0,1,1,0,0,1,32.710526315789,38.050877192982,1
jarrad-branthwaite,D,37,28,10,1,1,4,0,0,0,0,1,90,61,8.1,0,1,0,1,0,1,29.147826086957,70.894202898551,1
vitaliy-mykolenko,D,24,18,4,0,1,4,0,2,1,0,1,90,58,7,0,1,0,0,0,1,45.860317460317,89.273015873016,1
james-garner,M,33,21,3,0,2,2,0,0,0,0,1,87,42,6.5,0,0,0,0,0,1,49.387234042553,49.531914893617,1
idrissa-gueye,M,27,22,2,0,8,9,1,2,1,0,2,77,45,6.5,0,1,0,0,0,4,46.265079365079,69.980952380952,1
jesper-lindstrom,M,13,8,1,0,6,4,1,2,0,0,1,77,26,6.1,0,0,0,0,0,2,59.697222222222,18.672222222222,1
abdoulaye-doucoure,M,19,12,0,0,8,6,0,0,0,0,2,90,36,6.7,0,2,0,0,0,0,59.872222222222,54.794444444444,1
iliman-ndiaye,F,4,4,0,0,0,3,0,0,0,0,2,25,9,6.6,0,0,0,0,0,1,52.181818181818,73.163636363636,1
beto,F,20,14,1,0,14,7,3,0,0,0,1,90,34,7.4,0,2,1,0,1,0,62.905357142857,54.719642857143,1
alisson,G,26,20,8,0,0,0,0,0,0,0,0,90,33,6.3,0,0,0,0,0,0,12.802564102564,46.894871794872,0
bradley-conor,D,43,35,5,0,6,5,0,2,0,0,1,61,62,6.2,0,0,0,0,0,2,44.330136986301,15.387671232877,0
ibrahima-konate,D,79,71,7,0,1,9,0,0,0,0,1,90,93,7.1,0,0,0,0,0,0,34.728037383178,32.68785046729,0
virgil-van-dijk,D,115,105,9,0,6,10,0,0,0,0,1,90,136,7.3,0,0,0,0,0,2,35.349342105263,62.905921052632,0
andrew-robertson,D,56,50,7,0,2,2,1,0,0,0,1,69,71,6.6,0,0,0,0,0,1,40.268421052632,78.439473684211,0
ryan-gravenberch,M,24,20,2,0,2,2,1,0,0,0,1,61,34,6.6,0,0,0,0,0,1,46.821052631579,33.305263157895,0
alexis-mac-allister,M,41,29,6,0,8,7,1,0,0,0,0,90,60,7.3,0,0,1,0,0,4,49.452,52.256,0
mohamed-salah,M,35,25,2,1,3,5,3,4,4,0,1,90,54,8.5,0,2,1,1,1,0,59.573846153846,19.153846153846,0
dominik-szoboszlai,M,41,30,4,0,10,3,2,1,0,0,1,90,52,6.3,0,0,0,0,0,2,55.961290322581,25.66935483871,0
cody-gakpo,F,13,11,0,0,5,2,1,0,0,0,1,69,22,6.7,0,1,0,0,0,1,56.632258064516,73.51935483871,0
luis-diaz,F,21,18,1,0,8,7,2,4,4,0,1,88,43,7,0,0,0,0,1,1,66.646153846154,61.982692307692,0
