bernd-leno,G,34,24,19,0,0,1,0,0,0,0,0,90,45,7.3,0,0,0,0,0,0,9.5190476190476,50.668253968254,1
timothy-castagne,D,30,24,4,0,4,9,0,1,0,0,1,90,59,7,0,0,0,0,0,6,31.151428571429,16.385714285714,1
joachim-andersen,D,41,31,14,0,2,3,0,0,0,0,0,90,62,6.9,0,0,0,0,0,2,29.594202898551,38.252173913043,1
calvin-bassey,D,42,38,2,0,2,6,0,1,1,0,1,90,59,7,0,0,0,0,0,3,31.543209876543,68.823456790123,1
antonee-robinson,D,33,25,6,0,2,4,0,0,0,0,0,90,61,7.2,0,2,0,0,0,3,43.685714285714,82.472857142857,1
sander-berge,M,41,34,4,0,3,5,1,1,1,0,0,90,52,6.7,0,1,0,0,0,2,48.904615384615,47.926153846154,1
sasa-lukic,M,34,28,1,0,3,2,0,0,0,0,1,76,41,6.5,0,0,0,0,0,1,48.650980392157,57.582352941176,1
ryan-sessegnon,M,14,10,0,0,7,4,2,4,2,0,0,82,36,7.4,0,1,1,0,0,2,46.211111111111,18.886666666667,1
andreas-pereira,M,21,15,4,0,3,3,1,1,1,0,0,76,36,6.9,0,1,0,1,0,0,57.996,46.132,1
alex-iwobi,M,27,20,3,1,3,2,2,1,0,0,0,82,46,8.2,0,1,1,1,1,2,60.785714285714,74.917857142857,1
rodrigo-muniz,F,7,4,0,0,10,10,3,3,1,0,3,76,26,6.9,0,0,1,0,1,1,60.213513513514,49.716216216216,1
caoimhin-kelleher,G,40,30,13,0,0,0,0,0,0,0,0,90,50,6.5,0,0,0,0,0,0,13.452542372881,49.610169491525,0
curtis-jones,M,55,50,2,0,3,3,1,0,0,0,1,90,74,6.4,0,2,0,0,0,2,50.929885057471,32.344827586207,0
ibrahima-konate,D,51,47,1,0,5,5,0,0,0,0,0,67,63,6.4,0,0,0,0,0,3,37.866666666667,33.422666666667,0
virgil-van-dijk,D,82,72,10,0,6,4,2,0,0,0,0,90,95,6.4,0,0,0,0,0,1,35.607547169811,60.730188679245,0
andrew-robertson,D,37,31,3,0,3,4,0,2,1,0,0,82,60,5.9,0,0,0,0,1,2,50.513043478261,83.376811594203,0
ryan-gravenberch,M,72,66,1,1,6,8,0,3,1,0,4,90,94,7,0,1,0,0,0,2,47.672972972973,42.914414414414,0
alexis-mac-allister,M,59,48,3,0,8,6,1,2,1,0,1,90,81,7.3,0,2,1,0,0,3,56.665,57.927,0
mohamed-salah,M,29,20,2,0,7,1,2,2,0,0,0,90,50,6.2,0,2,0,0,1,0,64.547540983607,18.63606557377,0
dominik-szoboszlai,M,28,22,1,0,1,1,1,0,0,0,0,55,34,6.1,0,0,0,0,0,0,52.797297297297,51.086486486486,0
cody-gakpo,F,7,6,0,0,7,3,2,3,1,0,1,55,21,6.1,0,0,0,0,0,1,71.188888888889,74.951851851852,0
diogo-jota,F,8,2,0,0,3,3,1,1,0,0,1,67,22,6.3,0,0,0,0,0,1,59.028571428571,61.210714285714,0
