arijanet-muric,G,38,25,18,0,0,0,0,0,0,0,0,90,48,5.8,0,0,0,0,0,0,9.2529411764706,50.570588235294,1
harry-clarke,D,39,28,7,0,4,1,1,0,0,0,0,90,50,5.7,0,0,0,0,0,0,41.654237288136,17.349152542373,1
dara-oshea,D,45,39,6,0,3,5,0,0,0,0,0,90,55,6.6,0,0,0,0,0,2,31.904411764706,41.491176470588,1
cameron-burgess,D,54,49,2,0,0,2,0,0,0,0,0,90,61,6.3,0,0,0,0,0,1,31.208955223881,72.864179104478,1
leif-davis,D,49,37,4,0,1,5,0,0,0,0,1,90,66,6.4,0,1,0,0,0,2,48.224657534247,88.569863013699,1
sam-morsy,M,50,48,3,0,1,3,0,0,0,0,2,90,58,6.8,0,2,0,0,0,1,47.975384615385,49.467692307692,1
jens-cajuste,M,44,40,1,0,2,2,0,1,0,0,1,62,54,6,0,1,0,0,0,1,48.035384615385,66.227692307692,1
wes-burns,M,15,11,0,0,4,2,1,4,2,0,0,78,31,6.3,0,0,0,0,0,0,69.928571428571,12.277142857143,1
omari-hutchinson,M,13,12,0,0,3,0,1,2,0,0,0,45,22,6,0,0,0,0,0,0,52.817857142857,63.910714285714,1
sammie-szmodics,M,20,18,2,0,6,1,2,0,0,0,1,78,28,6.1,0,1,0,0,2,0,57.763414634146,70.068292682927,1
conor-chaplin,M,20,13,1,0,6,2,0,1,0,0,0,62,26,6.6,0,2,0,0,0,2,57.691428571429,43.594285714286,1
martin-dubravka,G,48,39,10,0,0,0,0,0,0,0,0,90,53,7,0,0,0,0,0,0,10.474137931034,52.248275862069,0
valentino-livramento,D,46,42,0,0,2,2,0,3,2,0,0,64,59,6.8,0,0,0,0,0,0,43.905882352941,16.055882352941,0
fabian-schar,D,95,85,13,0,4,4,0,2,2,0,1,90,108,7.5,0,0,0,0,0,1,30.010483870968,28.270967741935,0
dan-burn,D,94,87,6,0,2,5,0,1,1,0,0,90,102,7.5,0,0,0,0,1,2,25.830909090909,66.439090909091,0
lewis-hall,D,58,50,3,0,2,7,0,2,2,0,2,90,78,7.4,0,1,0,0,0,1,33.464835164835,83.318681318681,0
sandro-tonali,M,68,59,5,0,5,4,2,1,1,0,0,90,79,7,0,0,0,0,0,2,40.755789473684,47.130526315789,0
bruno-guimaraes,M,48,44,5,1,3,6,2,1,0,0,3,80,65,8.4,0,4,0,2,0,3,53.176315789474,40.744736842105,0
joe-willock,M,15,11,0,0,1,0,0,0,0,0,0,64,17,6.3,0,0,0,0,0,0,54.07,48.97,0
jacob-murphy,F,21,18,2,1,1,2,0,0,0,0,1,64,36,8.9,0,3,1,3,0,1,55.392307692308,18.784615384615,0
alexander-isak,F,19,12,2,0,4,2,1,2,1,0,0,73,32,9.6,0,2,3,1,0,0,63.564864864865,41.121621621622,0
gordon-anthony,F,31,25,1,1,3,6,1,3,2,0,1,90,54,7.1,0,3,0,0,0,2,56.619672131148,72.46393442623,0
