alex-palmer,G,23,17,15,0,0,0,0,0,0,0,0,90,29,6.3,0,0,0,0,0,0,9.5763157894737,49.673684210526,1
ben-godfrey,D,8,6,0,0,1,0,0,0,0,0,0,45,14,6.3,0,0,0,0,0,0,53.266666666667,9.58,1
dara-oshea,D,39,31,6,0,2,6,0,0,0,0,1,90,51,6.6,0,0,0,0,0,4,37.121666666667,31.928333333333,1
jacob-greaves,D,50,45,4,0,1,4,0,0,0,0,2,90,59,6.2,0,0,0,0,0,2,36.832857142857,77.054285714286,1
leif-davis,D,37,30,5,0,3,9,3,0,0,0,4,90,64,6.9,0,3,0,1,0,4,49.280281690141,87.084507042253,1
kalvin-phillips,M,27,21,1,0,1,5,0,2,1,0,1,80,44,6.9,0,1,0,0,0,3,48,34.811764705882,1
jens-cajuste,M,15,13,0,0,7,4,0,4,3,0,0,52,21,6.4,0,1,0,0,0,1,51.0625,61.3,1
jaden-philogene-bidace,M,23,19,0,0,7,7,1,4,1,0,1,90,56,6.8,0,2,0,0,0,5,59.225373134328,20.855223880597,1
omari-hutchinson,M,24,21,1,0,6,3,2,2,0,0,2,90,47,7.5,0,3,1,1,1,1,65.617543859649,32.466666666667,1
jack-clarke,M,17,14,0,1,5,1,0,2,0,0,0,68,26,7.1,0,3,0,1,0,1,66.848648648649,84.237837837838,1
liam-delap,F,11,8,0,0,5,2,0,0,0,0,0,79,21,7.1,0,0,0,0,0,0,69.8,63.78125,1
guglielmo-vicario,G,28,22,6,0,0,0,0,0,0,0,0,90,36,7.1,0,0,0,0,0,0,8.2488372093023,50.248837209302,0
djed-spence,D,52,45,1,0,2,5,2,2,2,0,2,90,71,7.5,0,0,1,0,0,1,41.235897435897,30.971794871795,0
archie-gray,D,89,84,8,0,3,4,0,0,0,0,4,90,95,6.9,0,1,0,0,0,0,30.653398058252,31.630097087379,0
danso-kevin,D,92,84,4,0,3,6,0,1,0,0,2,90,106,6.9,0,0,0,0,0,1,31.391596638655,66.910924369748,0
destiny-udogie,D,35,33,3,0,2,4,0,1,0,0,1,65,52,7.1,0,0,0,0,0,3,43.535185185185,84.457407407407,0
dejan-kulusevski,M,37,30,2,0,10,4,2,1,0,0,0,90,53,7.4,0,3,1,0,0,4,48.338571428571,29.73,0
bentancur-rodrigo,M,59,48,4,0,4,5,2,0,0,0,1,90,75,7,0,0,0,0,0,1,43.610752688172,43.647311827957,0
bergvall-lucas,M,35,30,3,0,2,4,1,2,1,0,0,85,47,6.7,0,0,0,0,0,3,46.149056603774,69.205660377358,0
brennan-johnson,F,21,16,0,0,3,2,0,2,1,0,0,64,28,8,0,0,2,0,1,1,54.4,16.478787878788,0
mathys-tel,F,8,5,0,0,6,1,1,2,0,0,1,74,17,6.4,0,0,0,0,0,0,53.2,44.153846153846,0
heung-min-son,F,27,21,1,2,5,2,1,3,0,0,2,74,44,7.8,0,3,0,1,0,0,61.598076923077,82.55,0
