mads-hermansen,G,49,32,21,0,0,1,0,0,0,0,1,90,60,6.9,0,0,0,0,0,0,11.607575757576,49.125757575758,1
james-justin,D,52,42,3,0,4,6,2,1,1,0,0,90,73,6.7,0,0,0,0,0,1,41.854651162791,17.691860465116,1
conor-coady,D,89,83,5,0,0,2,0,1,1,0,0,90,94,6.6,0,0,0,0,0,1,33.394949494949,36.639393939394,1
jannik-vestergaard,D,65,61,0,0,1,4,0,1,1,0,0,81,73,6.9,0,0,0,0,0,1,33.056790123457,71.143209876543,1
kristiansen-victor,D,31,24,3,0,3,6,0,1,1,0,0,90,67,6.5,0,1,0,1,0,4,45.375641025641,81.923076923077,1
wilfred-ndidi,M,27,26,1,0,5,1,2,0,0,0,0,52,35,6.4,0,0,0,0,0,1,37.082926829268,39.231707317073,1
boubakary-soumare,M,61,51,1,0,6,9,1,5,3,0,2,90,80,6.8,0,0,0,0,0,3,48.925555555556,59.82,1
kasey-mcateer,M,17,12,1,0,6,3,2,3,0,0,3,62,29,6.4,0,1,0,0,0,0,64.722857142857,18.191428571429,1
bilal-el-khannouss,M,43,36,3,0,4,5,2,1,1,0,0,81,58,7,0,1,0,0,0,3,51.721212121212,39.871212121212,1
jordan-ayew,F,20,16,1,0,6,2,0,1,1,0,0,62,25,6.5,0,1,0,0,0,0,48.841666666667,72.930555555556,1
jamie-vardy,F,13,10,0,1,5,4,0,1,0,0,1,90,24,8.3,0,1,1,1,1,1,63.169696969697,50.372727272727,1
bart-verbruggen,G,29,21,12,0,0,1,0,0,0,0,0,90,34,6.5,0,0,0,0,0,0,7.6880952380952,50.290476190476,0
lamptey-tariq,D,46,43,2,0,5,4,2,3,2,0,1,90,72,7.4,0,1,1,0,0,1,53.15,17.136585365854,0
jan-paul-van-hecke,D,74,65,5,0,3,6,1,0,0,0,1,90,85,6.8,0,0,0,0,0,1,34.985567010309,34.938144329897,0
lewis-dunk,D,81,74,7,0,1,4,0,0,0,0,0,90,89,7,0,1,0,0,0,1,33.90297029703,64.99702970297,0
pervis-estupinan,D,47,39,3,1,5,7,0,1,1,0,1,90,72,7.6,0,2,0,0,0,3,44.102197802198,72.710989010989,0
baleba-carlos,M,14,11,4,0,2,0,1,0,0,0,0,45,17,6.6,0,1,0,0,0,0,49.865,46.365,0
yasin-ayari,M,20,18,1,0,6,2,2,2,1,0,0,71,32,7,0,1,0,0,0,1,52.717948717949,52.938461538462,0
rutter-georginio,M,22,13,1,0,9,6,2,3,2,0,2,90,48,6.8,0,0,0,0,0,2,55.1953125,26.5015625,0
joao-pedro,F,16,13,1,0,1,4,0,0,0,0,2,70,30,6.9,0,1,0,0,0,1,65.997222222222,45.975,0
mitoma-kaoru,M,17,16,1,0,10,3,1,1,0,0,0,89,31,6.7,0,3,0,0,0,3,56.248780487805,73.10487804878,0
evan-ferguson,F,6,5,1,0,3,1,1,1,1,0,0,70,13,6.8,0,1,0,0,0,0,63.866666666667,36.45,0
