mads-hermansen,G,27,22,9,0,0,0,0,0,0,0,0,90,38,7.4,0,0,0,0,0,0,11.643181818182,49.613636363636,1
james-justin,D,35,26,4,0,1,9,0,1,1,0,3,90,62,7.7,0,1,0,0,0,3,47.164788732394,21.016901408451,1
wout-faes,D,52,47,10,0,4,6,0,0,0,0,0,90,69,7.2,0,0,0,0,0,2,35.36,36.44875,1
caleb-okoli,D,48,46,3,0,7,4,0,0,0,0,1,90,60,6.9,0,0,0,0,0,2,30.521333333333,61.702666666667,1
kristiansen-victor,D,69,62,8,0,7,4,0,1,0,0,0,90,98,7,0,0,0,0,0,3,46.619658119658,80.095726495726,1
harry-winks,M,53,47,3,0,2,3,0,1,0,0,1,90,70,7.3,0,3,0,0,0,2,49.489743589744,58.616666666667,1
wilfred-ndidi,M,52,39,2,0,7,15,2,3,2,0,1,90,74,7.9,0,0,0,0,0,6,51.435869565217,53.425,1
jordan-ayew,F,18,14,1,0,3,5,1,0,0,0,3,90,34,6.7,0,0,0,0,1,1,60.684782608696,38.608695652174,1
bilal-el-khannouss,M,35,29,1,0,2,2,1,0,0,0,1,56,43,6.8,0,2,0,0,0,1,62.940425531915,75.753191489362,1
stephy-mavididi,M,41,35,1,0,7,10,3,8,5,0,2,89,76,8.4,0,2,1,1,0,3,66.175,85.273863636364,1
jamie-vardy,F,8,6,0,0,2,2,0,0,0,0,0,83,14,6.6,0,0,0,0,1,0,70.057894736842,55.263157894737,1
jordan-pickford,G,32,21,22,0,0,0,0,0,0,0,0,90,39,7.1,0,0,0,0,0,0,12.388888888889,52.702222222222,0
james-garner,M,26,18,3,0,7,3,0,2,0,0,0,90,55,6.6,0,0,0,0,0,3,39.698507462687,12.64328358209,0
james-tarkowski,D,28,20,5,0,4,5,0,0,0,0,1,90,41,6.8,0,0,0,0,0,0,26.446296296296,31.137037037037,0
michael-keane,D,18,15,5,0,2,2,0,0,0,0,0,90,30,6.7,0,0,0,0,0,1,23.467567567568,66.408108108108,0
ashley-young,D,46,37,7,1,3,4,0,1,1,0,1,90,68,7.4,0,2,0,0,0,2,44.832098765432,84.743209876543,0
orel-mangala,M,48,44,2,0,5,2,0,2,1,0,1,90,59,6.8,0,1,0,0,0,0,47.450724637681,54.749275362319,0
abdoulaye-doucoure,M,35,32,3,0,5,3,1,0,0,0,0,90,54,7.1,0,0,0,0,0,3,46.586764705882,43.588235294118,0
jesper-lindstrom,M,17,14,0,0,5,7,3,3,1,0,1,61,41,7,0,1,0,0,0,4,56.389130434783,25.5,0
dwight-mcneil,M,36,32,4,0,6,5,1,5,2,0,2,90,60,7.8,0,3,0,1,0,1,61.488888888889,50.769444444444,0
iliman-ndiaye,F,27,24,0,0,7,2,0,5,1,0,1,81,40,7.2,0,4,1,1,0,0,57.694230769231,78.305769230769,0
dominic-calvert-lewin,F,13,8,0,0,11,7,2,2,1,0,2,90,34,6.6,0,1,0,0,4,0,60.43125,39.910416666667,0
