danny-ward,G,26,22,10,0,1,0,0,1,0,0,0,90,32,6.1,0,0,0,0,0,0,12.045945945946,50.751351351351,1
james-justin,D,26,15,3,0,5,6,0,4,1,0,1,53,43,5.6,0,0,0,0,0,0,54.607547169811,13.611320754717,1
conor-coady,D,54,52,7,0,0,4,0,0,0,0,0,90,62,7.2,0,1,0,0,0,1,41.216176470588,26.686764705882,1
jannik-vestergaard,D,49,47,1,0,1,1,0,1,1,0,0,45,56,6.2,0,0,0,0,0,0,35.772881355932,56.694915254237,1
kristiansen-victor,D,66,56,4,0,3,5,1,0,0,0,3,90,87,6.5,0,0,0,0,0,1,46.733333333333,82.759595959596,1
skipp-oliver,M,30,28,2,0,1,4,0,0,0,0,2,45,36,6.6,0,2,0,0,0,2,50.8,34.3925,1
boubakary-soumare,M,65,56,1,0,5,4,1,2,1,0,2,90,79,6.7,0,2,0,0,0,1,49.514606741573,61.897752808989,1
jordan-ayew,F,26,21,0,0,10,7,4,3,2,0,2,84,51,6.3,0,1,0,0,1,1,65.514492753623,28.076811594203,1
bilal-el-khannouss,M,33,24,5,0,0,1,0,0,0,0,0,53,40,6.7,0,0,0,0,0,1,60.271428571429,66.32619047619,1
stephy-mavididi,M,33,28,0,0,2,6,0,3,1,0,1,90,54,6.8,0,0,0,0,0,4,61.065573770492,82.581967213115,1
jamie-vardy,F,6,5,0,0,9,2,1,2,0,0,1,90,19,6.5,0,0,0,0,0,0,69.810344827586,41.868965517241,1
jose-sa,G,28,19,10,0,0,2,0,0,0,0,1,90,48,8,0,0,0,0,0,1,9.3333333333333,47.568115942029,0
matt-doherty,D,59,50,8,1,1,2,1,0,0,0,1,90,69,7.6,0,1,0,1,0,1,39.662162162162,22.364864864865,0
santiago-bueno,D,50,46,2,0,3,4,0,0,0,0,0,90,56,7.3,0,0,0,0,0,1,31.047619047619,43.674603174603,0
toti-gomes,D,72,61,11,0,1,9,0,1,1,0,2,90,86,7.9,0,0,0,0,0,4,30.94387755102,74.958163265306,0
nelson-semedo,M,29,20,6,1,5,4,1,0,0,0,2,89,46,7,0,1,0,0,0,2,55.290384615385,19.526923076923,0
andre,M,59,52,5,0,2,5,0,0,0,0,2,90,71,7,0,0,0,0,0,3,36.636046511628,46.586046511628,0
joao-gomes,M,53,49,2,0,10,5,2,0,0,0,1,89,70,6.5,0,0,0,0,0,3,46.539325842697,62.303370786517,0
gomes-rodrigo,M,21,17,2,0,4,4,0,0,0,0,0,83,36,7.6,0,1,1,0,0,2,37.638461538462,86.8,0
goncalo-guedes,F,23,14,4,1,5,3,1,2,0,0,3,74,38,7.7,0,1,1,0,0,0,57.264444444444,27.884444444444,0
matheus-cunha,F,49,40,7,0,11,5,1,6,1,0,2,90,76,7.8,0,3,1,1,0,2,50.258510638298,65.451063829787,0
jorgen-strand-larsen,F,10,8,0,0,7,1,3,1,0,0,1,84,19,6.4,0,0,0,0,1,0,50.076923076923,51.023076923077,0
