alisson,G,35,27,14,0,0,0,0,0,0,0,0,90,40,7.2,0,0,0,0,0,0,10.713636363636,46.463636363636,1
trent-alexander-arnold,D,50,41,11,0,1,4,0,2,2,0,0,73,73,7.9,0,4,0,1,0,2,56.18375,25.46,1
ibrahima-konate,D,76,73,4,0,0,3,0,0,0,0,0,90,87,7.8,0,0,0,0,0,2,37.571875,31.964583333333,1
virgil-van-dijk,D,62,59,4,0,3,4,0,0,0,0,0,90,70,7.3,0,0,0,0,0,1,37.125925925926,63.464197530864,1
andrew-robertson,D,68,61,4,0,1,2,0,1,1,0,0,90,86,7.6,0,3,0,0,0,1,55.439361702128,78.740425531915,1
ryan-gravenberch,M,76,71,2,0,4,4,0,2,1,0,0,89,90,7.2,0,0,0,0,0,3,50.074038461538,49.540384615385,1
alexis-mac-allister,M,49,43,3,0,7,6,0,1,0,0,3,90,65,7.3,0,2,0,0,0,2,50.45,59.875,1
mohamed-salah,M,33,29,0,0,5,5,3,2,2,0,2,83,53,7.9,0,0,1,0,0,1,69.854385964912,21.740350877193,1
dominik-szoboszlai,M,64,62,3,0,3,0,2,0,0,0,0,90,80,7.3,0,2,0,0,0,0,60.292045454545,31.134090909091,1
luis-diaz,F,27,27,0,1,4,6,0,3,1,0,2,72,41,8.9,0,4,1,1,0,3,60.341176470588,78.576470588235,1
diogo-jota,F,14,13,0,1,5,2,0,1,0,0,0,72,23,7.2,0,2,0,2,0,1,64.984848484848,57.984848484848,1
mark-flekken,G,51,38,27,0,0,0,0,0,0,0,0,90,62,8.1,0,0,0,0,0,0,9.4670886075949,49.73417721519,0
mads-roerslev,D,38,30,3,0,5,2,1,4,1,0,0,90,57,6,0,0,0,0,0,1,43.901515151515,18.528787878788,0
nathan-collins,D,54,48,3,0,0,5,0,1,1,0,1,90,68,7.7,0,0,0,0,0,0,29.643421052632,30.347368421053,0
ethan-pinnock,D,39,34,2,0,4,2,0,0,0,0,0,90,45,6.7,0,0,0,0,0,1,25.158928571429,65.875,0
kristoffer-ajer,D,34,26,1,0,5,3,1,1,0,0,0,90,52,6.1,0,1,0,0,0,1,43.696666666667,84.343333333333,0
mathias-jensen,M,13,10,3,0,2,2,0,2,1,0,1,66,26,6.6,0,2,0,1,0,0,60.826666666667,46.293333333333,0
christian-norgaard,M,37,34,2,0,4,6,0,0,0,0,2,90,54,6.4,0,0,0,0,0,4,42.353731343284,53.732835820896,0
vitaly-janelt,M,20,16,2,0,1,3,0,0,0,0,2,73,25,6.6,0,0,0,0,0,1,45.593548387097,50.748387096774,0
keane-lewis-potter,F,17,13,2,0,3,4,0,4,1,0,1,66,32,6.8,0,1,0,0,0,1,62.441666666667,83.716666666667,0
bryan-mbeumo,F,17,14,0,0,7,3,0,4,1,0,0,90,33,6.7,0,1,0,1,2,1,62.461904761905,31.22380952381,0
yoane-wissa,F,13,12,1,0,1,2,1,0,0,0,2,73,21,6.5,0,0,0,0,0,0,46.133333333333,48.933333333333,0
