stefan-ortega,G,38,26,18,0,0,1,0,0,0,0,1,90,50,6.5,0,0,0,0,0,0,13.070967741935,47.227419354839,1
rico-lewis,D,51,42,2,0,3,3,1,0,0,0,1,90,72,6.6,0,0,0,0,0,2,45.030769230769,20.007692307692,1
abdukodir-khusanov,D,66,59,3,0,1,3,0,0,0,0,0,90,77,6.4,0,0,0,0,0,0,32.681176470588,25.696470588235,1
ruben-dias,D,85,73,9,0,2,3,0,0,0,0,0,90,90,6.6,0,0,0,0,0,2,40.823232323232,60.80101010101,1
josko-gvardiol,D,52,44,4,0,1,8,1,0,0,0,1,90,78,7.3,0,0,0,0,0,4,44.093406593407,82.505494505495,1
nico-gonzalez,M,62,52,2,0,12,8,2,3,1,0,0,90,82,6.4,0,0,0,0,0,4,49.325471698113,47.860377358491,1
ilkay-gundogan,M,42,38,3,1,4,2,0,0,0,0,1,90,55,7.6,0,4,0,1,0,1,57.740298507463,57.914925373134,1
savio,M,13,11,1,0,5,4,2,4,2,0,1,58,31,6,0,1,0,0,0,1,64.394285714286,20.74,1
omar-marmoush,F,27,22,0,0,4,4,0,2,1,0,1,86,40,8.4,0,2,1,2,1,2,63.5,41.217647058824,1
jeremy-doku,F,27,20,1,0,12,17,6,19,15,0,1,90,66,7.2,0,0,0,0,0,1,72.010256410256,79.334615384615,1
erling-haaland,F,15,12,0,0,7,3,1,4,1,0,0,90,28,7.1,0,0,1,0,0,0,65.137837837838,48.697297297297,1
bart-verbruggen,G,38,23,21,0,0,0,0,0,0,0,0,90,41,6.2,0,0,0,0,0,0,11.014583333333,52.154166666667,0
jack-hinshelwood,D,23,17,3,0,3,4,0,0,0,0,1,90,43,7.3,0,2,0,2,0,2,48.664150943396,16.869811320755,0
jan-paul-van-hecke,D,28,24,6,0,4,4,0,0,0,0,2,90,45,6.6,0,0,0,0,0,1,30.669090909091,37.763636363636,0
adam-webster,D,55,44,6,0,3,3,0,0,0,0,0,90,62,6.4,0,1,0,1,0,1,30.377941176471,70.045588235294,0
pervis-estupinan,D,33,27,2,0,1,4,0,1,1,0,0,90,62,7.5,0,2,1,0,0,3,42.919117647059,82.325,0
baleba-carlos,M,31,23,6,0,6,2,1,0,0,0,0,87,45,6.2,0,2,0,0,0,1,41.47,45.208333333333,0
diego-gomez,M,31,23,5,0,8,10,2,3,1,0,1,75,61,6.8,0,1,0,1,0,6,44.304054054054,65.582432432432,0
minteh-yankuba,F,16,9,1,0,8,7,3,0,0,0,1,83,34,6.4,0,1,0,0,0,5,55.31320754717,19.105660377358,0
rutter-georginio,M,13,10,1,0,7,6,3,3,2,0,2,75,26,6.2,0,1,0,0,0,2,54.419444444444,29.4,0
mitoma-kaoru,M,15,11,0,0,3,3,0,1,1,0,1,83,27,6.6,0,1,0,0,0,1,59.033333333333,81.625641025641,0
joao-pedro,F,29,20,2,0,11,7,2,4,1,0,1,90,51,6.6,0,1,0,1,1,1,62.246376811594,63.073913043478,0
