stefan-ortega,G,20,19,2,0,0,0,0,0,0,0,0,90,27,6.7,0,0,0,0,0,0,10.934285714286,52.254285714286,1
rico-lewis,D,77,72,3,0,2,2,1,0,0,0,0,90,88,7.3,0,0,0,0,0,1,53.890816326531,26.876530612245,1
manuel-akanji,D,69,64,1,0,3,2,0,0,0,0,1,90,76,6.3,0,1,0,0,0,0,39.038202247191,37.759550561798,1
nathan-ake,D,67,61,6,0,2,5,0,1,1,0,0,85,80,7,0,0,0,0,0,2,40.288888888889,68.371111111111,1
josko-gvardiol,D,71,66,0,0,4,7,0,4,3,0,0,90,98,7.1,0,0,0,0,0,2,59.500934579439,80.027102803738,1
mateo-kovacic,M,117,107,9,0,2,4,0,0,0,0,2,85,127,7.3,0,1,0,0,0,2,53.303759398496,58.555639097744,1
savio,M,36,32,0,0,7,8,2,10,7,0,1,90,66,8.2,0,2,0,0,0,0,75.004,22.053333333333,1
phil-foden,M,50,45,6,0,3,3,2,0,0,0,1,90,69,8.2,0,7,0,2,0,1,66.604,54.881333333333,1
bernardo-silva,M,68,62,2,0,5,5,2,1,0,0,1,90,90,7.4,0,1,1,0,0,4,58.856701030928,74.19587628866,1
jeremy-doku,F,22,18,0,1,6,7,2,2,0,0,3,75,41,7.1,0,2,0,0,0,4,56.983018867925,78.254716981132,1
erling-haaland,F,13,10,0,0,3,4,0,3,2,0,0,90,22,6.5,0,2,0,0,2,0,74.092592592593,54.762962962963,1
jordan-pickford,G,52,34,31,0,1,0,0,0,0,0,0,90,67,7.6,0,0,0,0,0,0,12.087654320988,52.146913580247,0
seamus-coleman,D,21,15,7,0,2,4,1,3,2,0,1,89,46,6.9,0,0,0,0,0,1,35.442307692308,13.657692307692,0
james-tarkowski,D,31,28,4,0,1,5,0,0,0,0,1,90,50,7.4,0,0,0,0,0,3,26.834545454545,35.041818181818,0
jarrad-branthwaite,D,30,24,4,0,2,4,0,0,0,0,0,90,41,7,0,0,0,0,0,2,27.93,61.282,0
vitaliy-mykolenko,D,27,23,3,0,6,2,0,0,0,0,0,90,42,6.4,0,0,0,0,0,2,35.3,78.903846153846,0
orel-mangala,M,37,34,2,0,4,2,2,2,2,0,0,90,50,6.8,0,0,0,0,0,0,45.390322580645,45.495161290323,0
idrissa-gueye,M,35,31,3,0,2,4,0,1,0,0,0,90,52,7.1,0,0,0,0,0,4,39.695238095238,50.373015873016,0
abdoulaye-doucoure,M,25,24,1,0,4,3,0,1,1,0,0,90,35,6.7,0,0,0,0,1,2,48.1,67.717391304348,0
jack-harrison,M,12,9,1,0,10,2,2,4,1,0,1,90,33,6.7,0,3,0,0,0,0,58.185714285714,15.757142857143,0
dominic-calvert-lewin,F,12,5,0,0,8,7,2,0,0,0,1,70,25,6.6,0,0,0,0,1,1,58.14358974359,47.025641025641,0
iliman-ndiaye,F,23,21,2,0,6,2,0,3,0,0,0,81,38,7.2,0,1,1,0,0,2,47.520408163265,79.430612244898,0
