ederson,G,28,26,2,0,0,0,0,0,0,0,0,90,31,6.4,0,0,0,0,0,0,14.232352941176,51.152941176471,1
rico-lewis,D,81,78,3,0,3,3,1,1,0,0,2,90,98,6.9,0,0,0,0,0,1,53.519626168224,35.163551401869,1
abdukodir-khusanov,D,91,89,1,0,2,2,0,0,0,0,1,90,105,7.2,0,1,0,0,0,1,42.040163934426,30.850819672131,1
nathan-ake,D,73,70,4,0,1,0,0,0,0,0,0,77,77,6.6,0,1,0,0,0,0,43.346341463415,65.598780487805,1
josko-gvardiol,D,54,48,5,0,3,7,0,3,2,0,0,90,75,6.9,0,2,0,0,0,2,52.287640449438,81.374157303371,1
nico-gonzalez,M,93,88,1,0,0,1,0,0,0,0,0,78,101,7,0,0,0,0,0,0,54.611818181818,53.480909090909,1
savio,M,43,36,5,0,3,3,1,3,1,0,2,90,62,7.2,0,4,0,0,0,0,71.404615384615,17.915384615385,1
kevin-de-bruyne,M,29,23,4,0,2,2,0,2,1,0,0,66,41,6.7,0,2,0,0,0,1,57.646808510638,33.051063829787,1
omar-marmoush,F,27,24,1,0,5,4,1,3,2,0,2,77,52,6.9,0,1,0,0,2,0,72.978571428571,73.782142857143,1
jeremy-doku,F,39,32,0,0,7,16,1,20,15,0,1,90,75,8.2,0,2,0,0,0,0,79.322619047619,80.366666666667,1
phil-foden,M,37,34,2,0,4,3,3,3,2,0,1,90,59,7,0,0,0,0,0,0,66.605,49.566666666667,1
alisson,G,27,20,8,0,0,0,0,0,0,0,0,90,42,8,0,0,0,0,0,0,8.9327272727273,46.629090909091,0
trent-alexander-arnold,D,56,40,16,0,12,3,0,0,0,0,0,89,67,6.3,0,0,0,0,0,2,28.720454545455,17.443181818182,0
ibrahima-konate,D,47,43,4,0,4,2,0,0,0,0,1,90,61,7.1,0,0,0,0,0,1,21.968571428571,30.332857142857,0
virgil-van-dijk,D,32,30,3,0,2,2,0,0,0,0,0,90,50,7.7,0,0,0,0,0,2,23.315517241379,59.789655172414,0
andrew-robertson,D,18,16,1,0,3,3,0,0,0,0,0,74,34,7,0,1,0,0,0,3,39.9275,79.87,0
ryan-gravenberch,M,30,23,6,0,0,3,0,1,1,0,0,90,44,7.2,0,0,0,0,0,2,33.285454545455,40.996363636364,0
alexis-mac-allister,M,20,17,1,0,3,2,0,0,0,0,0,90,33,6.9,0,1,0,0,1,2,46.123684210526,54.678947368421,0
mohamed-salah,M,27,20,1,1,3,7,1,4,3,0,1,89,47,8.9,0,3,1,1,0,2,55.146428571429,21.746428571429,0
curtis-jones,M,18,15,0,0,0,4,0,0,0,0,1,73,23,6.9,0,0,0,0,0,1,53.446666666667,56.34,0
luis-diaz,F,20,15,3,0,6,4,1,2,1,0,0,79,29,7,0,0,0,0,1,3,54.369565217391,73.765217391304,0
dominik-szoboszlai,M,24,19,2,1,5,3,1,1,1,0,0,90,38,7.7,0,1,1,0,2,2,48.45652173913,31.232608695652,0
