ederson,G,21,18,8,0,0,0,0,0,0,0,0,90,25,7.2,0,0,0,0,0,0,11.98275862069,51.141379310345,1
rico-lewis,D,42,41,1,0,0,2,0,0,0,0,1,89,50,7,0,0,0,0,0,0,59.338461538462,26.728846153846,1
manuel-akanji,D,85,79,3,0,2,0,1,0,0,0,0,90,93,7.7,0,1,0,0,0,0,58.556701030928,26.543298969072,1
ruben-dias,D,93,90,3,0,3,3,0,0,0,0,0,90,98,7.6,0,1,0,0,0,2,49.016814159292,53.552212389381,1
josko-gvardiol,D,103,96,3,0,3,3,0,0,0,0,1,90,120,8.5,0,3,0,0,0,1,60.6953125,75.96484375,1
mateo-kovacic,M,62,56,1,0,5,7,2,0,0,0,1,90,80,7.5,0,0,0,0,0,6,61.803409090909,52.827272727273,1
savio,M,48,41,1,0,6,7,3,7,6,0,1,90,74,8.6,0,5,0,2,0,0,77.737209302326,24.302325581395,1
phil-foden,M,47,45,1,0,3,3,1,1,1,0,2,90,70,8.1,0,5,0,1,1,0,74.047945205479,41.783561643836,1
bernardo-silva,M,49,44,0,0,3,3,0,1,1,0,1,90,59,7.4,0,2,0,0,0,1,64.341428571429,71.24,1
matheus-nunes,M,58,53,1,1,7,4,2,2,1,0,1,86,79,8.1,0,2,0,1,0,1,78.693258426966,83.104494382022,1
erling-haaland,F,5,5,0,0,5,3,3,0,0,0,1,90,21,6.6,0,0,1,0,0,0,80.056,52.792,1
aaron-ramsdale,G,56,48,10,0,0,0,0,0,0,0,0,90,74,7.7,0,0,0,0,0,0,10.842708333333,51.329166666667,0
kyle-walker-peters,D,58,55,1,0,5,2,0,3,0,0,2,90,74,6.4,0,1,0,0,0,0,34.89125,32.64875,0
taylor-harwood-bellis,D,71,68,2,0,1,3,0,0,0,0,1,90,88,8.1,0,0,0,0,0,1,24.685263157895,35.141052631579,0
jan-bednarek,D,78,74,5,0,3,3,0,0,0,0,1,90,88,6.9,0,0,0,0,0,0,25.511458333333,64.758333333333,0
jack-stephens,D,36,34,1,0,4,1,0,0,0,0,0,90,47,6.9,0,1,0,1,0,1,33.610526315789,65.389473684211,0
ryan-manning,D,19,17,0,0,2,1,0,0,0,0,1,77,30,6.5,0,0,0,0,0,0,35.385714285714,85.374285714286,0
tyler-dibling,M,15,10,0,0,0,3,0,1,1,0,2,45,21,6.6,0,0,0,0,0,0,48.845454545455,16.859090909091,0
flynn-downes,M,36,34,1,0,3,5,0,0,0,0,1,87,45,6.6,0,0,0,0,0,4,36.9625,37.469642857143,0
adam-lallana,M,29,26,1,0,2,3,0,1,1,0,0,60,38,6.7,0,0,0,0,0,1,36.461363636364,48.552272727273,0
mateus-fernandes,M,45,38,1,0,6,7,0,5,2,0,0,90,67,6.7,0,1,0,0,0,5,40.105128205128,73.107692307692,0
cameron-archer,F,3,3,0,0,5,3,1,3,0,0,1,87,15,6.3,0,0,0,0,1,1,37.336363636364,58.768181818182,0
