andre-onana,G,37,33,6,0,0,0,0,0,0,0,0,90,38,5.1,0,0,0,0,0,0,16.939024390244,50.963414634146,1
leny-yoro,D,44,42,0,0,3,0,0,0,0,0,0,66,46,6.2,0,0,0,0,0,0,33.688235294118,25.378431372549,1
matthijs-de-ligt,D,69,60,6,0,0,4,0,0,0,0,1,65,75,6.4,0,0,0,0,0,0,34.581481481481,45.483950617284,1
lisandro-martinez,D,90,84,4,0,4,2,0,0,0,0,0,90,95,6.5,0,0,0,0,0,1,42.105405405405,70.001801801802,1
diallo-amad,M,44,37,0,1,9,5,4,5,3,0,1,90,69,7.2,0,2,0,0,0,1,64.421794871795,13.665384615385,1
kobbie-mainoo,M,51,47,2,0,6,7,1,2,1,0,2,90,65,6.9,0,2,0,0,0,1,57.421621621622,58.121621621622,1
manuel-ugarte,M,47,44,3,0,5,7,2,2,1,0,1,76,60,7.3,0,2,0,1,0,3,51.454794520548,51.195890410959,1
diogo-dalot,D,46,38,3,0,3,6,0,2,2,0,0,90,76,7.4,0,1,0,0,0,4,56.567032967033,86.712087912088,1
bruno-fernandes,M,48,36,6,0,6,4,0,0,0,0,3,76,71,7.5,0,2,1,0,0,0,63.575581395349,51.71976744186,1
alejandro-garnacho,M,21,20,1,0,2,3,1,0,0,0,3,59,31,7.1,0,0,0,0,0,0,65.543243243243,78.583783783784,1
rasmus-hojlund,F,16,15,0,0,5,2,0,1,0,0,1,90,27,6.9,0,0,1,0,0,0,59.923529411765,60.288235294118,1
matz-sels,G,31,8,30,0,0,1,0,0,0,0,0,90,41,7.1,0,0,0,0,0,0,9.8877192982456,48.626315789474,0
ola-aina,D,25,20,1,0,2,5,1,3,3,0,2,90,46,6.8,0,1,0,0,0,0,40.62,18.610909090909,0
nikola-milenkovic,D,14,8,3,0,1,4,0,0,0,0,0,90,26,7.6,0,0,1,0,0,0,37.432352941176,37.291176470588,0
murillo,D,15,11,1,0,0,0,0,0,0,0,0,90,25,6.6,0,1,0,0,0,0,37.222222222222,60.696296296296,0
williams-neco,D,14,10,1,0,6,7,0,3,2,0,1,90,34,6.5,0,0,0,0,0,4,32.7,84.704651162791,0
elliot-anderson,M,24,16,4,1,7,7,0,5,1,0,0,90,49,6.8,0,2,0,0,0,6,43.0796875,61.3109375,0
ryan-yates,M,28,23,1,0,7,9,0,0,0,0,4,90,40,6.7,0,1,0,0,0,1,43.924561403509,31.931578947368,0
jota-silva,F,15,11,0,0,5,3,0,1,0,0,0,68,25,6.7,0,1,0,0,0,2,63.545454545455,24.127272727273,0
morgan-gibbs-white,M,31,19,1,1,8,5,1,4,2,0,1,79,49,7.8,0,1,1,0,0,0,60.727419354839,37.770967741935,0
callum-hudson-odoi,M,26,22,2,1,3,2,2,0,0,0,0,89,32,6.8,0,2,0,0,0,2,53.494871794872,68.066666666667,0
chris-wood,F,6,3,0,0,6,5,1,0,0,0,1,79,13,7.3,0,0,1,0,1,0,67.931818181818,59.436363636364,0
