martin-dubravka,G,28,26,3,0,0,0,0,0,0,0,0,90,33,7.2,0,0,0,0,0,0,13.851351351351,50.616216216216,1
valentino-livramento,D,24,20,1,0,6,1,2,1,0,0,1,64,47,6.6,0,0,0,0,0,0,46.885185185185,17.109259259259,1
fabian-schar,D,77,63,10,0,3,2,0,1,1,0,0,90,83,6.9,0,0,0,0,0,0,34.627472527473,34.106593406593,1
dan-burn,D,73,69,3,0,2,5,1,0,0,0,0,90,81,7.1,0,0,0,0,0,0,36.679787234043,63.454255319149,1
lewis-hall,D,89,75,7,1,3,7,0,0,0,0,3,90,112,9,0,5,0,1,0,2,46.029365079365,81.428571428571,1
bruno-guimaraes,M,27,22,1,0,3,4,0,1,0,0,2,64,40,7.5,0,1,1,0,0,1,57.663043478261,41.85652173913,1
sandro-tonali,M,80,73,5,0,3,4,1,0,0,0,3,90,97,7.5,0,1,0,0,0,1,50.247321428571,54.305357142857,1
joelinton,M,42,39,1,0,3,2,0,1,0,0,0,90,53,7.6,0,2,0,1,0,1,50.621666666667,77.628333333333,1
jacob-murphy,F,18,13,1,0,5,0,2,0,0,0,0,64,36,8.3,0,2,2,0,0,0,58.885714285714,25.37619047619,1
alexander-isak,F,21,15,2,1,6,7,2,8,6,0,1,73,38,9,0,4,1,2,0,0,72.57380952381,48.685714285714,1
gordon-anthony,F,39,37,2,1,7,6,2,5,2,0,3,81,62,8,0,5,0,0,0,1,62.3375,77.408333333333,1
mads-hermansen,G,15,6,9,0,0,0,0,0,0,0,0,45,24,7.3,0,0,0,0,0,0,9.51,47.73,0
james-justin,D,37,29,3,0,5,6,0,1,1,0,1,90,71,6.5,0,1,0,0,1,3,48.920731707317,17.919512195122,0
conor-coady,D,50,42,4,0,1,2,0,0,0,0,0,90,58,5.7,0,0,0,0,0,1,33.398412698413,40.866666666667,0
jannik-vestergaard,D,58,51,4,0,6,6,0,2,2,0,0,90,76,6.8,0,0,0,0,0,3,32.825287356322,62.677011494253,0
kristiansen-victor,D,37,24,6,0,2,7,0,0,0,0,0,90,59,6.2,0,0,0,0,1,5,37.967647058824,81.916176470588,0
skipp-oliver,M,53,46,2,0,1,2,0,0,0,0,0,90,62,6.2,0,0,0,0,0,1,49.859722222222,41.341666666667,0
hamza-choudhury,M,33,28,1,0,2,1,0,1,1,0,0,59,38,6.5,0,1,0,0,0,0,52.357142857143,59.17619047619,0
kasey-mcateer,M,19,15,0,0,8,5,0,1,0,0,1,90,33,6.4,0,0,0,0,0,1,58.410416666667,49.814583333333,0
bilal-el-khannouss,M,40,32,6,0,1,8,0,2,2,0,1,82,53,6.9,0,1,0,0,0,5,53.784615384615,54.095384615385,0
stephy-mavididi,M,27,21,1,0,4,3,1,0,0,0,2,59,37,6.5,0,0,0,0,0,1,62.760869565217,49.3,0
jamie-vardy,F,10,6,1,0,3,4,1,2,2,0,0,59,15,6.7,0,0,0,0,0,0,65.87619047619,56.82380952381,0
