nick-pope,G,15,9,7,0,0,0,0,0,0,0,0,90,26,7,0,0,0,0,0,0,10.708823529412,49.214705882353,1
kieran-trippier,D,49,41,4,0,2,7,0,2,0,0,3,78,72,7,0,2,0,0,1,3,56.3175,18.58,1
fabian-schar,D,53,44,7,0,10,5,1,0,0,0,0,90,66,6.7,0,0,0,0,0,1,42.201162790698,38.940697674419,1
dan-burn,D,46,36,5,0,0,10,0,0,0,0,0,90,59,7.3,0,1,0,0,0,1,48.367605633803,65.53661971831,1
valentino-livramento,D,34,26,5,0,9,6,2,3,1,0,1,90,57,6.5,0,1,0,0,0,4,50.577777777778,80.755555555556,1
bruno-guimaraes,M,43,34,5,0,5,6,2,1,1,0,1,85,58,7.8,0,1,1,0,0,3,64.256338028169,27.464788732394,1
sandro-tonali,M,46,42,1,0,1,1,0,1,0,0,0,90,63,7.6,0,0,1,0,0,1,56.904285714286,36.112857142857,1
joelinton,M,28,22,1,1,4,3,0,1,0,0,1,85,36,7,0,1,0,1,0,0,61.647916666667,63.16875,1
jacob-murphy,F,35,26,1,1,4,6,2,6,5,0,0,78,59,7.8,0,2,0,1,1,1,65.497058823529,16.238235294118,1
alexander-isak,F,18,13,2,1,3,5,0,3,2,0,1,78,29,7.3,0,1,0,1,0,0,71.755555555556,41.202777777778,1
harvey-barnes,M,20,17,0,0,7,6,1,5,2,0,2,90,38,8.8,0,1,2,1,0,2,66.397872340426,58.778723404255,1
altay-bayindir,G,57,28,37,0,2,1,0,0,0,0,0,90,68,5.5,0,0,0,0,0,0,9.5961538461538,48.352564102564,0
noussair-mazraoui,D,31,27,1,0,5,4,0,0,0,0,0,78,38,5.5,0,0,0,0,0,3,30.984,26.272,0
victor-lindelof,D,42,40,0,0,5,1,0,0,0,0,0,90,49,6.1,0,0,0,0,0,1,28.327586206897,51.837931034483,0
leny-yoro,D,70,65,5,0,1,3,0,1,0,0,0,90,86,6.2,0,0,0,0,0,2,28.552127659574,68.894680851064,0
diogo-dalot,D,32,27,2,1,5,5,3,3,2,0,0,90,55,6.8,0,1,0,0,0,3,47.033846153846,13.598461538462,0
manuel-ugarte,M,45,40,2,0,5,10,1,5,4,0,2,90,65,7,0,0,0,0,0,2,42.868604651163,50.2,0
christian-eriksen,M,47,42,2,0,2,2,0,0,0,0,0,90,54,6.4,0,0,0,0,0,2,47.236507936508,73.58253968254,0
amass-harry,D,13,11,0,0,2,2,1,2,1,0,0,55,31,6.5,0,0,0,0,0,0,32.838888888889,89.413888888889,0
alejandro-garnacho,M,14,9,0,0,4,2,0,2,1,0,0,55,20,7.3,0,0,1,0,0,1,62.020833333333,31.0875,0
bruno-fernandes,M,44,32,2,0,6,6,2,2,1,0,1,82,62,7,0,2,0,1,0,3,43.628169014085,70.054929577465,0
joshua-zirkzee,F,16,10,0,0,5,5,1,2,2,0,1,55,26,6.3,0,0,0,0,0,0,57.997142857143,50.394285714286,0
