aaron-ramsdale,G,45,27,30,0,0,0,0,0,0,0,0,90,55,6.8,0,0,0,0,0,0,13.515151515152,48.125757575758,1
taylor-harwood-bellis,D,52,45,6,0,3,1,0,0,0,0,0,90,69,6.8,0,1,0,0,0,1,40.682894736842,27.523684210526,1
jan-bednarek,D,33,31,1,0,3,7,0,0,0,0,1,90,49,6.9,0,0,0,0,0,1,31.009523809524,47.536507936508,1
jack-stephens,D,46,39,5,0,1,1,0,0,0,0,0,90,54,6.9,0,0,0,0,0,1,37.001612903226,76.154838709677,1
kyle-walker-peters,D,29,24,3,0,3,4,1,4,2,0,1,90,53,6.9,0,0,0,0,0,1,53.325423728814,16.089830508475,1
flynn-downes,M,34,27,3,0,6,5,1,0,0,0,1,89,46,7,0,0,0,0,0,4,49.143333333333,38.606666666667,1
lesley-ugochukwu,M,13,8,0,0,1,4,0,0,0,0,0,71,20,7,0,2,0,0,0,3,54.280769230769,60.265384615385,1
ryan-manning,D,27,23,4,0,2,1,0,1,0,0,0,81,45,7,0,2,0,0,0,0,48.871153846154,81.907692307692,1
mateus-fernandes,M,44,36,1,1,4,9,0,5,4,0,3,90,69,7.7,0,1,0,1,0,2,57.202409638554,35.746987951807,1
kamaldeen-sulemana,F,19,15,0,0,4,3,2,4,3,0,0,81,35,6.5,0,0,0,0,0,0,53.711904761905,72.430952380952,1
paul-onuachu,F,21,11,1,0,16,10,4,3,0,0,2,89,51,7.3,0,0,1,0,2,1,65.28,50.42,1
dean-henderson,G,20,16,5,0,0,0,0,0,0,0,0,90,24,6.5,0,0,0,0,0,0,11.118518518519,47.311111111111,0
nathaniel-clyne,D,54,46,7,0,2,1,0,0,0,0,0,59,61,6.6,0,1,0,0,0,1,40.388059701493,21.835820895522,0
maxence-lacroix,D,70,65,4,0,8,8,0,0,0,0,1,90,88,7.1,0,0,0,0,0,4,34.022522522523,47.581981981982,0
marc-guehi,D,90,82,2,0,2,6,0,0,0,0,2,90,103,7,0,0,0,0,0,2,38.822222222222,75.797435897436,0
daniel-munoz,M,28,24,2,0,5,2,2,1,0,0,1,76,48,6.5,0,0,0,0,0,1,52.361818181818,15.203636363636,0
adam-wharton,M,44,39,0,0,5,4,0,1,0,0,1,86,58,6.7,0,1,0,0,0,3,47.532352941176,42.039705882353,0
jefferson-lerma,M,59,45,4,1,3,6,1,0,0,0,2,90,77,6.9,0,1,0,0,0,2,44.995294117647,52.781176470588,0
tyrick-mitchell,M,28,26,3,0,3,1,0,0,0,0,0,58,37,7,0,1,0,0,0,1,48.82,86.19,0
ismaila-sarr,F,34,25,1,0,1,4,1,0,0,0,1,90,50,7.1,0,2,0,0,2,1,58.769642857143,32.416071428571,0
eberechi-eze,F,40,32,1,0,4,6,2,5,3,0,2,90,59,7,0,0,0,0,0,0,58.377611940299,70.894029850746,0
jean-philippe-mateta,F,17,13,2,0,5,3,1,2,2,0,0,59,31,6.9,0,0,0,0,2,0,63.623076923077,44.366666666667,0
