lukasz-fabianski,G,27,21,15,0,1,0,0,0,0,0,0,90,38,7.5,0,0,0,0,0,0,9.4872340425532,49.612765957447,1
aaron-wan-bissaka,D,44,34,2,0,4,4,1,6,3,0,0,90,74,7.1,0,0,0,0,0,0,52.232558139535,15.327906976744,1
konstantinos-mavropanos,D,28,26,4,0,0,1,0,0,0,0,0,45,30,6.7,0,0,0,0,0,0,31.267647058824,31.361764705882,1
max-kilman,D,33,31,3,0,1,2,0,0,0,0,0,90,48,7.2,0,0,0,0,0,1,29.917543859649,63.40701754386,1
emerson-palmieri,D,33,27,3,0,5,2,1,1,0,0,0,90,57,6.4,0,0,0,0,0,2,52.708823529412,85.213235294118,1
edson-alvarez,M,48,43,3,0,3,1,1,0,0,0,0,90,63,7.1,0,0,0,0,0,1,39.024,39.198666666667,1
guido-rodriguez,M,36,30,0,0,5,5,0,0,0,0,1,89,47,6.9,0,0,0,0,0,4,40.8359375,46.1671875,1
jarrod-bowen,M,20,13,0,0,10,4,4,1,0,0,1,90,44,7.2,0,2,1,1,1,2,69.275862068966,21.689655172414,1
lucas-paqueta,M,29,21,2,0,3,1,0,0,0,0,0,45,33,6.7,0,0,0,0,0,0,54.32380952381,62.366666666667,1
carlos-soler,M,13,10,1,0,2,0,2,0,0,0,0,45,19,6.5,0,1,0,0,0,0,56.715789473684,73.8,1
michail-antonio,F,22,14,5,0,4,5,2,3,3,0,1,71,43,7.4,0,3,0,1,2,0,70.020408163265,44.836734693878,1
andre-onana,G,31,19,14,0,0,0,0,0,0,0,0,90,40,6.5,0,0,0,0,0,0,13.095652173913,49.132608695652,0
diogo-dalot,D,47,36,1,0,3,6,1,1,1,0,1,90,74,7.3,0,3,0,0,0,2,48.289655172414,19.505747126437,0
matthijs-de-ligt,D,54,53,0,0,6,3,0,0,0,0,0,90,64,6.2,0,0,0,0,0,0,40.357142857143,30.936363636364,0
lisandro-martinez,D,60,54,4,0,2,7,0,0,0,0,0,90,77,7,0,0,0,0,0,5,35.64367816092,66.804597701149,0
noussair-mazraoui,D,41,37,1,0,4,8,1,1,1,0,1,84,71,7.5,0,0,0,0,0,5,41.861728395062,79.640740740741,0
christian-eriksen,M,40,34,2,0,0,1,0,0,0,0,0,79,52,7.1,0,1,0,0,0,1,55.812280701754,37.843859649123,0
casemiro,M,73,63,8,0,4,7,0,1,1,0,1,90,97,8.6,0,2,1,1,0,2,46.618260869565,59.089565217391,0
marcus-rashford,M,24,16,2,0,2,1,0,3,1,0,0,59,32,6.5,0,1,0,0,0,0,57.364705882353,28.476470588235,0
bruno-fernandes,M,72,59,10,0,5,5,1,3,1,0,3,90,97,7.7,0,3,0,2,0,1,53.426548672566,61.3,0
alejandro-garnacho,M,41,33,2,0,2,1,1,0,0,0,0,90,60,6.4,0,2,0,1,1,1,59.482857142857,84.732857142857,0
rasmus-hojlund,F,18,16,0,0,2,3,0,2,1,0,0,90,27,6.6,0,1,0,0,1,1,65.477419354839,57.451612903226,0
